No.	Z Error(mm)	3D Error
1	2.240000	2.636719
2	4.480000	4.641882
3	5.440000	5.642576
4	1.600000	1.914925
5	1.920000	2.350356
6	1.920000	2.517572
7	3.200000	3.449133
8	1.600000	1.760251
9	1.280000	1.829865
10	1.600000	3.983196
11	4.160000	5.195011
12	6.400000	6.616117
13	3.200000	3.400405
14	1.600000	1.737734
15	3.520000	3.936528
16	4.800000	5.093266
17	5.120000	5.336866
18	3.520000	3.975590
19	5.760000	6.085081
20	4.160000	4.774990
21	5.120000	5.348620
22	4.160000	4.277073
23	4.480000	4.913294
24	1.920000	2.825219
25	4.800000	4.943078
26	5.120000	5.542478
27	5.120000	5.476511
28	6.720000	6.856775
29	0.320000	1.811889
30	2.560000	3.566479
31	4.800000	5.207798
32	3.200000	3.422806
33	1.920000	2.705781
34	0.640000	2.094488
35	5.440000	6.053150
36	4.800000	5.554022
37	0.000000	2.557376
38	0.320000	1.171960
39	2.240000	3.251870
40	0.000000	0.000000
41	3.200000	3.699312
42	0.320000	0.858752
43	3.200000	3.382926
44	12.480000	12.641685
45	3.840000	4.104207
46	4.160000	4.484160
47	1.280000	1.854616
48	3.200000	3.365047
49	0.640000	0.908554
50	0.640000	0.921268
51	3.520000	3.560345
52	1.600000	2.542308
53	2.560000	2.600092
54	0.320000	0.460569
55	0.320000	1.212492
56	2.880000	3.109292
57	5.760000	6.285239
58	6.400000	7.293370
59	0.320000	0.981427
60	0.640000	0.683105
61	2.240000	2.329430
62	0.320000	0.363031
63	2.880000	3.032647
64	2.880000	2.968129
65	4.800000	5.117631
66	2.240000	2.433684
67	2.240000	2.269716
68	3.520000	3.655454
69	4.480000	4.763375
70	2.880000	3.111977
71	4.480000	4.624674
72	2.880000	2.963456
73	1.920000	2.581676
74	0.960000	2.117179
75	4.480000	4.711269
76	4.480000	4.625947
77	2.560000	2.669532
78	4.480000	4.682769
79	0.960000	1.271817
80	0.320000	0.569097
81	1.920000	2.105927
82	2.560000	2.985010
83	4.160000	4.817108
84	3.840000	4.420389
85	3.840000	4.506093
86	0.960000	1.249219
87	2.240000	2.436317
88	5.440000	5.574960
89	2.240000	3.039630
90	0.960000	1.768889
91	4.800000	4.840772
92	0.640000	0.793320
93	0.960000	1.453850
94	5.120000	5.414556
95	3.520000	3.683555
96	5.440000	6.241854
97	3.840000	4.379092
