No.	Z Error(mm)	3D Error
1	4.800000	5.699000
2	5.120000	5.319335
3	4.160000	4.325139
4	1.280000	1.420138
5	3.200000	3.516413
6	3.520000	3.807641
7	3.200000	3.482541
8	5.440000	5.686614
9	2.240000	2.339302
10	0.000000	3.232464
11	0.320000	3.572202
12	2.560000	3.107956
13	1.280000	1.740275
14	3.840000	4.108822
15	5.120000	5.348091
16	5.120000	5.367338
17	6.080000	6.943573
18	4.800000	6.083754
19	1.920000	2.357126
20	3.520000	4.254303
21	3.200000	5.601993
22	1.280000	4.201832
23	3.200000	4.857590
24	1.600000	4.394163
25	4.160000	4.803080
26	4.800000	5.437965
27	5.120000	5.396632
28	1.280000	2.259988
29	4.800000	5.644987
30	1.920000	3.053120
31	1.920000	3.359462
32	2.240000	2.360970
33	0.000000	0.681504
34	3.520000	3.850700
35	4.480000	5.644762
36	3.520000	3.947710
37	1.280000	3.178425
38	1.920000	2.336762
39	0.640000	2.085005
40	0.000000	0.000000
41	3.200000	3.654189
42	1.280000	1.399816
43	3.200000	3.437512
44	6.720000	7.090689
45	3.840000	4.169493
46	2.880000	3.291530
47	1.280000	2.241286
48	5.440000	5.666027
49	1.920000	2.302451
50	0.640000	1.606051
51	2.560000	3.067216
52	7.040000	7.268860
53	3.840000	4.174842
54	1.600000	1.737752
55	3.840000	4.217459
56	1.600000	1.792803
57	1.920000	1.986104
58	1.600000	1.657827
59	1.280000	1.977994
60	2.240000	2.423400
61	0.320000	0.419195
62	1.920000	2.150232
63	2.240000	2.481825
64	2.240000	2.280050
65	5.440000	5.980445
66	2.560000	2.598018
67	3.520000	3.602351
68	4.800000	4.867892
69	5.120000	5.585256
70	3.520000	4.103175
71	5.440000	5.684845
72	4.480000	4.576902
73	2.880000	2.902915
74	4.160000	4.379189
75	3.840000	4.215148
76	2.880000	4.001882
77	1.280000	1.451973
78	4.800000	5.107245
79	0.640000	1.050147
80	0.640000	0.952074
81	3.200000	3.289211
82	1.920000	2.050632
83	4.480000	4.640656
84	4.800000	5.481923
85	3.840000	4.396493
86	4.800000	5.095692
87	0.960000	1.596238
88	2.240000	2.292744
89	1.920000	2.125180
90	1.600000	1.651298
91	1.600000	1.857701
92	0.960000	1.814766
93	1.280000	1.624204
94	10.240000	10.363252
95	4.480000	4.509963
96	6.720000	7.635568
97	2.560000	4.027275
98	3.520000	3.599391
99	0.960000	1.024682
100	3.520000	3.678387
101	3.200000	3.358711
102	6.720000	7.140977
103	6.080000	6.580557
104	0.320000	0.632061
105	0.640000	0.971099
106	6.720000	7.527876
107	7.680000	8.330178
108	1.280000	1.331003
109	1.600000	1.728142
110	2.880000	3.035191
111	2.240000	2.670991
112	3.200000	3.394803
113	1.600000	1.653668
114	0.320000	0.878473
115	0.000000	0.176490
116	1.280000	1.316342
117	0.320000	0.552850
118	1.280000	2.280287
119	3.520000	3.841781
120	4.800000	4.875303
121	1.600000	2.114363
122	0.640000	1.264401
123	2.880000	4.023246
124	4.800000	5.077648
125	0.320000	1.588308
126	3.520000	4.368579
127	4.480000	4.679697
128	4.480000	4.930852
129	1.920000	2.000741
130	0.640000	0.737518
131	6.720000	6.911674
132	4.160000	4.353279
133	4.480000	4.511958
134	2.560000	2.635038
135	1.600000	1.665901
136	1.280000	1.442527
137	1.280000	1.667968
138	4.800000	5.012120
139	2.880000	3.293628
140	3.840000	3.924052
141	5.440000	5.701796
142	3.520000	3.812522
143	2.880000	3.722875
144	2.880000	3.575555
145	3.200000	3.287569
146	5.440000	5.584249
147	2.560000	3.663073
148	3.840000	3.991851
149	0.960000	1.165851
150	1.280000	1.295216
151	2.240000	2.286477
152	3.200000	3.663192
153	1.920000	2.026673
154	4.160000	4.226636
155	6.080000	6.174683
156	0.960000	2.189377
157	1.920000	2.752733
158	1.280000	1.573601
159	2.880000	2.944720
160	2.240000	2.284260
161	0.640000	1.465059
162	2.880000	3.400869
163	1.280000	1.590275
164	3.200000	3.908613
165	0.320000	2.048186
166	2.240000	2.414027
167	2.240000	2.855570
168	2.240000	2.633176
169	1.280000	3.077869
170	2.560000	2.646593
171	1.280000	1.323942
172	2.880000	2.930167
173	2.880000	2.957898
174	0.320000	0.453894
175	0.640000	1.395211
176	1.600000	1.734334
177	1.280000	1.536346
178	4.160000	4.342283
179	1.280000	1.802296
180	2.240000	3.043838
181	1.280000	2.745492
182	0.960000	2.464410
183	0.320000	1.420710
184	1.280000	2.076160
185	0.640000	0.925819
186	1.600000	1.656838
187	1.920000	2.034978
188	0.960000	2.326164
189	1.920000	2.776040
190	4.800000	5.224703
191	1.920000	3.471760
192	2.560000	3.310523
193	1.600000	4.963440
194	3.520000	3.851721
195	1.280000	3.554103
196	2.560000	4.382889
197	1.600000	2.383521
198	1.600000	2.415643
199	1.600000	3.123612
200	1.920000	2.412405
201	0.640000	1.858390
202	0.640000	1.645820
203	1.280000	2.217886
204	0.320000	1.397630
205	0.000000	3.069832
206	0.960000	1.282878
207	1.600000	2.990961
208	3.200000	3.559621
209	3.520000	4.645823
210	3.840000	4.581738
211	3.840000	4.615106
212	1.920000	2.588870
213	2.560000	4.138859
214	1.280000	2.164456
215	0.960000	2.682095
216	0.320000	3.056699
217	0.640000	3.464033
218	1.280000	2.907183
219	2.880000	3.634929
220	4.800000	4.893515
221	2.240000	2.493424
222	1.600000	1.684313
223	0.000000	1.953885
224	3.200000	3.266902
225	2.880000	3.848021
226	2.560000	2.762119
227	2.560000	2.596053
228	1.920000	3.256624
229	0.960000	1.920882
230	4.480000	4.659186
231	3.840000	4.325582
232	2.240000	2.336868
233	3.520000	3.598517
234	2.880000	3.012760
235	0.000000	1.078413
236	2.880000	3.254174
237	1.600000	1.712371
238	3.200000	3.320683
239	2.560000	2.796472
240	3.520000	3.576881
241	0.960000	1.353592
242	8.960000	9.089816
243	2.560000	2.969026
244	4.160000	4.329889
245	0.960000	1.085378
246	2.880000	2.924359
247	7.360000	7.378105
248	3.520000	3.855172
249	4.800000	4.848947
250	2.560000	2.913240
251	1.920000	2.008205
252	0.960000	0.982724
253	2.560000	2.596839
254	6.080000	6.212416
255	1.280000	1.569048
256	4.800000	4.919525
257	4.160000	4.408710
258	4.800000	4.885033
259	0.960000	1.329663
260	2.880000	2.896085
261	3.520000	3.550382
262	0.320000	0.420200
263	5.760000	5.845114
264	6.080000	6.260669
265	1.600000	1.635256
266	5.120000	5.130180
267	4.480000	4.509421
268	2.560000	2.618872
269	0.320000	1.013648
270	3.840000	3.913193
271	5.440000	5.473909
272	0.000000	1.504407
273	6.720000	6.967077
274	0.320000	1.025533
275	0.640000	0.685477
276	1.280000	2.105435
277	3.520000	3.560156
278	7.040000	7.207188
279	0.640000	0.750347
280	1.280000	1.465729
281	3.520000	3.603715
282	1.600000	1.940730
283	1.920000	2.272203
284	3.520000	3.688578
285	2.880000	3.157953
286	3.520000	3.646921
287	4.480000	4.588951
288	5.440000	5.576553
289	1.600000	1.660290
290	1.920000	2.246715
291	2.240000	2.784367
292	8.640000	8.708796
293	1.920000	2.370043
294	0.320000	1.323559
295	0.320000	0.900127
296	0.320000	1.449587
297	1.600000	2.218921
298	0.960000	1.510163
299	2.880000	3.294443
300	2.240000	3.018183
301	1.920000	2.123292
302	0.960000	1.842977
303	1.280000	2.196518
304	2.560000	2.835285
305	1.600000	2.758792
306	1.920000	2.318862
307	1.600000	1.729641
308	0.640000	1.258401
309	0.960000	1.629554
310	3.200000	3.559513
311	2.240000	2.400275
312	1.600000	2.244824
313	3.520000	4.096870
314	0.640000	0.809974
315	1.920000	2.611543
316	1.280000	3.843499
317	1.280000	2.555002
318	0.320000	3.134244
319	1.920000	3.680190
320	0.320000	3.159037
321	1.600000	2.786779
322	2.880000	3.421423
323	0.320000	3.555823
324	0.320000	0.790516
325	1.600000	1.692547
326	3.200000	3.353792
327	2.560000	2.947452
328	1.920000	1.953378
329	1.920000	2.536163
330	2.560000	3.438701
331	3.840000	4.538644
332	1.600000	2.462434
333	2.560000	2.860365
334	1.280000	2.155408
335	4.160000	4.445767
336	3.200000	3.533507
337	1.280000	1.461607
338	1.600000	2.045508
339	5.440000	5.807811
340	4.800000	5.115276
341	2.880000	3.381664
342	3.840000	4.284191
343	3.840000	4.130935
344	2.560000	2.795837
345	4.800000	5.154792
346	2.560000	2.722448
347	2.560000	2.890450
348	3.520000	3.882344
349	1.920000	2.291678
350	6.400000	6.901782
351	3.520000	3.997589
352	3.200000	3.538868
353	5.760000	5.831740
354	4.160000	4.227657
355	5.760000	6.005512
356	3.840000	3.965811
357	6.400000	6.602574
358	5.440000	5.514344
359	3.840000	3.908833
360	6.080000	6.299589
361	3.200000	3.315212
362	2.240000	2.795120
363	2.560000	2.714942
364	2.560000	2.875006
365	12.800000	12.915275
366	5.760000	6.137786
367	6.400000	6.527444
368	1.280000	1.768511
369	2.560000	2.897864
370	3.520000	3.575038
371	1.600000	2.257541
372	6.400000	6.618943
373	3.840000	3.996623
374	0.320000	1.057074
375	3.520000	3.798459
376	4.800000	4.942466
377	4.800000	5.168113
378	2.240000	2.307150
379	0.960000	1.211081
380	2.880000	2.968025
381	6.080000	6.283984
382	1.920000	1.993654
383	4.800000	4.928742
384	5.120000	5.451160
385	3.520000	3.601231
386	3.840000	3.928664
387	5.440000	5.651372
388	1.280000	1.868115
389	0.960000	2.425417
390	5.760000	5.967332
391	4.160000	4.420429
392	5.760000	5.952572
393	4.800000	5.079321
394	2.880000	2.960079
395	2.560000	2.710415
396	3.840000	3.924052
397	3.520000	4.142195
398	3.200000	3.261922
399	3.200000	3.518079
400	0.960000	1.525133
401	0.320000	0.504593
402	0.000000	1.315400
403	0.960000	1.466873
404	3.840000	4.164893
405	4.160000	4.259366
406	0.640000	0.931113
407	1.280000	1.354641
408	3.200000	3.278455
409	3.200000	3.340785
410	0.320000	0.514101
411	2.560000	2.671824
412	0.640000	0.665271
413	3.200000	3.328106
414	0.320000	0.680994
415	3.200000	4.178604
416	7.680000	8.396695
417	1.280000	1.474975
418	2.560000	2.652768
419	2.240000	2.447535
420	5.440000	5.526142
421	2.880000	3.416678
422	1.600000	1.755396
423	7.680000	8.075962
424	8.000000	8.122703
425	2.880000	3.009027
426	0.320000	0.528573
427	0.640000	0.732383
428	2.880000	2.913815
429	1.920000	2.664343
430	5.440000	5.697167
431	0.320000	0.652521
432	1.280000	1.464587
433	2.560000	2.620133
434	2.560000	2.644983
435	1.600000	1.622737
436	3.840000	3.898297
437	1.920000	1.940492
438	3.200000	3.251577
439	3.520000	3.638581
440	1.600000	1.683930
441	4.160000	4.264850
442	5.760000	5.956514
443	0.640000	0.857976
444	0.640000	1.183880
445	2.240000	2.298824
446	1.600000	1.710761
447	3.200000	3.286114
448	0.320000	1.654214
449	2.240000	2.741185
450	0.960000	1.195828
451	0.640000	0.856903
452	0.000000	1.434823
453	0.320000	0.666837
454	0.960000	0.994808
455	0.640000	1.383073
456	1.280000	2.004651
457	0.960000	1.379067
458	0.960000	1.293619
459	2.240000	2.618141
460	0.960000	1.017190
461	0.000000	0.113732
462	0.000000	0.116698
463	3.200000	3.370882
464	3.840000	3.909056
465	0.640000	0.704510
466	0.640000	1.700478
467	1.920000	2.008991
468	0.960000	1.299906
469	0.320000	0.616700
470	0.320000	0.580971
471	0.000000	0.157759
472	0.320000	0.590722
473	1.920000	2.276045
474	0.320000	1.067384
475	5.120000	5.411612
476	0.640000	0.968414
477	1.280000	1.530185
478	0.000000	0.046550
479	0.320000	0.528932
480	0.320000	0.996480
481	0.960000	1.607236
482	1.600000	1.786812
483	2.880000	3.242851
484	2.880000	3.100330
485	4.800000	5.032084
486	1.280000	1.667095
487	1.920000	2.100888
488	2.240000	2.595534
489	2.560000	2.948052
490	6.720000	6.877250
491	1.280000	1.451447
492	0.320000	0.766485
493	3.200000	3.600407
494	3.840000	3.948003
495	2.560000	2.595021
496	2.240000	2.323229
497	6.080000	6.134940
498	3.520000	3.588677
499	3.520000	3.544811
500	0.320000	0.770124
501	3.840000	3.873610
502	1.920000	1.933712
503	4.480000	4.580552
504	1.600000	2.369222
505	0.640000	1.863906
506	0.000000	0.085032
507	2.880000	3.066131
508	0.640000	1.819921
509	2.880000	3.027022
510	0.000000	1.182991
511	2.560000	2.899019
512	0.320000	1.119965
513	1.280000	2.047936
514	2.560000	3.414498
515	2.880000	3.096282
516	0.000000	0.732158
517	2.560000	2.934267
518	0.960000	1.058605
519	1.280000	1.612059
520	1.280000	1.427692
521	3.200000	3.293643
522	4.800000	5.243937
523	6.400000	6.699857
524	0.320000	3.533771
525	1.280000	3.413356
526	3.840000	4.009694
527	3.520000	5.021394
528	1.600000	2.831052
529	2.560000	2.924809
530	2.880000	3.831355
531	4.160000	4.173896
532	4.800000	4.894992
533	7.040000	7.122575
534	3.840000	4.275551
535	3.840000	4.559893
536	5.760000	5.881525
537	3.520000	3.690255
538	5.440000	6.130056
539	3.200000	3.697180
540	3.840000	4.257199
541	0.960000	1.129909
542	3.200000	3.521906
543	1.280000	1.353687
544	2.240000	3.337167
545	2.240000	2.655215
546	3.840000	3.944236
547	5.120000	5.174679
548	4.160000	4.654031
549	6.400000	6.876654
550	6.080000	6.189693
551	5.120000	5.382527
552	4.160000	4.559162
553	2.880000	3.167892
554	3.200000	4.986224
555	5.120000	5.543911
556	5.120000	5.379187
557	5.440000	5.693371
558	4.160000	4.362701
559	2.880000	3.068000
560	3.200000	3.915958
561	4.800000	5.097278
562	8.960000	9.109110
563	4.480000	4.760757
564	1.600000	1.682137
565	2.880000	3.731913
566	5.120000	7.009856
567	1.280000	2.332746
568	6.400000	6.738016
569	3.200000	4.133228
570	2.560000	2.673893
571	2.880000	4.136358
572	1.280000	5.676995
573	0.000000	0.777306
574	0.320000	1.229029
575	8.960000	9.036282
576	4.480000	5.224419
577	3.200000	3.452803
578	0.960000	3.518295
579	3.520000	4.423429
580	1.600000	3.545084
581	5.120000	6.467218
582	6.400000	6.943693
583	0.320000	2.524248
584	1.280000	4.243752
585	5.120000	5.286891
586	2.880000	3.914500
587	0.640000	2.869475
588	5.120000	5.659145
589	3.520000	3.564453
590	2.880000	3.015537
591	2.880000	3.287543
592	1.600000	2.158394
593	1.600000	1.677557
594	1.600000	2.109879
595	3.520000	4.152143
596	1.280000	2.062702
597	3.200000	3.410870
598	0.320000	1.044582
599	0.640000	1.241126
600	0.640000	1.395113
601	2.880000	3.244241
602	3.520000	3.997469
603	0.960000	1.095168
604	0.320000	0.730558
605	2.880000	3.153012
606	6.080000	6.594753
607	1.600000	2.262081
608	1.920000	2.188056
609	3.200000	3.390026
610	2.240000	2.501942
611	0.640000	0.972439
612	2.240000	2.444337
613	0.320000	0.972246
614	3.520000	4.355628
615	3.200000	3.511383
616	3.520000	3.747631
617	0.320000	0.614646
618	3.520000	4.003983
619	5.440000	5.707493
620	1.920000	2.045312
621	2.240000	2.561426
622	5.440000	5.650671
623	0.640000	1.285984
624	5.440000	5.645285
625	2.240000	3.128124
626	3.840000	4.112955
627	4.800000	5.018944
628	3.520000	3.671134
629	4.800000	5.048875
630	0.320000	0.507821
631	3.840000	4.102664
632	1.920000	3.088499
633	3.200000	3.928062
634	3.520000	3.787335
635	3.200000	3.366729
636	1.600000	1.715133
637	4.480000	5.273687
638	6.720000	6.863345
639	4.160000	4.339005
640	4.160000	4.224561
641	4.160000	4.773141
642	3.840000	3.996997
643	6.400000	6.603560
644	3.200000	3.332115
645	2.880000	3.000621
646	1.600000	1.786091
647	0.960000	1.088687
648	0.960000	1.928376
649	4.480000	4.534126
650	5.440000	6.096325
651	2.240000	2.474848
652	0.960000	1.022786
653	3.520000	3.706023
654	0.960000	1.840948
655	2.240000	2.649800
656	2.240000	2.618847
657	3.840000	3.946924
658	3.840000	3.891572
659	4.480000	4.874262
660	4.800000	5.244150
661	3.840000	3.932557
662	2.240000	2.396326
663	2.560000	2.752956
664	2.240000	4.207585
665	5.120000	5.495800
666	3.520000	3.761375
667	1.280000	1.420131
668	1.280000	1.508585
669	1.600000	2.542106
670	4.160000	4.764145
671	5.120000	5.348178
672	3.520000	3.769633
673	0.640000	1.653895
674	2.560000	2.686274
675	4.160000	4.318208
676	3.840000	4.170813
677	4.480000	4.558091
678	5.120000	5.280371
679	3.520000	3.644740
680	5.120000	5.621454
681	5.120000	5.920622
682	5.440000	5.633573
683	5.120000	5.947937
684	4.160000	4.268726
685	4.480000	4.700673
686	1.920000	1.963804
687	4.160000	4.308552
688	4.480000	4.737416
689	3.840000	4.050578
690	0.000000	1.627122
691	4.160000	4.357453
692	0.640000	2.079722
693	5.120000	5.580952
694	5.120000	5.325794
695	3.520000	3.785361
696	4.800000	5.121401
697	3.520000	4.022003
698	6.080000	6.209264
699	3.520000	3.646811
700	7.040000	7.458438
701	3.520000	3.594706
702	5.760000	5.910097
703	4.800000	5.035165
704	3.520000	3.835536
705	4.480000	4.580933
706	4.160000	4.389727
707	4.160000	4.303464
708	4.160000	4.369070
709	3.520000	3.809456
710	2.880000	3.033896
711	4.480000	4.589229
712	0.640000	1.461550
713	1.600000	1.708627
714	0.320000	0.388422
715	4.160000	4.565907
716	3.200000	3.292720
717	1.280000	1.358329
718	5.760000	6.215753
719	2.880000	3.015131
720	4.480000	4.912280
721	2.880000	3.112835
722	4.160000	4.626281
723	2.240000	2.366990
724	4.480000	4.635408
725	2.880000	3.090596
726	3.200000	3.283819
727	1.600000	1.923944
728	4.160000	4.343622
729	2.560000	2.932078
730	2.560000	2.642158
731	1.920000	2.111982
732	3.520000	3.725596
733	2.240000	2.648710
734	1.600000	1.667014
735	0.000000	0.077703
736	2.240000	2.387984
737	4.160000	4.314335
738	3.520000	3.715726
739	2.560000	2.788948
740	1.280000	1.360531
741	0.640000	1.629684
742	2.240000	2.491777
743	2.240000	2.628368
744	1.920000	2.011546
745	5.120000	5.228811
746	3.200000	3.420640
747	3.520000	3.591720
748	3.840000	4.020908
749	2.560000	2.669905
750	3.520000	3.896127
751	1.600000	1.746004
752	1.600000	1.729626
753	4.160000	4.481442
754	1.920000	2.020293
755	4.480000	4.704871
756	2.560000	2.587914
757	2.560000	2.651368
758	6.400000	6.640265
759	4.800000	4.911859
760	3.520000	3.620316
761	1.280000	1.319367
762	7.360000	7.801505
763	5.120000	6.128486
764	8.000000	8.472365
765	4.800000	5.048186
766	0.640000	1.137054
767	5.760000	5.933306
768	4.800000	4.893861
769	0.000000	0.949736
770	4.480000	4.656390
771	3.200000	3.630919
772	2.560000	2.623552
773	4.480000	4.855092
774	2.240000	2.639577
775	1.280000	1.518703
776	4.800000	4.979897
777	4.160000	4.304393
778	0.960000	1.343268
779	3.840000	3.885541
780	4.160000	4.657576
781	1.920000	2.137684
782	1.600000	1.713716
783	2.560000	2.749904
784	2.240000	2.671670
785	1.280000	1.555647
786	1.600000	1.973371
787	0.640000	0.752536
788	1.920000	2.335313
789	0.960000	1.110204
790	4.480000	4.785985
791	0.640000	0.910295
792	1.280000	1.949008
793	0.960000	1.058121
794	2.560000	2.828639
795	0.320000	0.963869
796	0.320000	1.560229
797	2.240000	3.354888
798	2.880000	3.285019
799	1.280000	1.741100
800	1.280000	1.824740
801	0.320000	2.865191
802	1.280000	2.690951
803	0.640000	0.717893
804	0.960000	1.231619
805	0.640000	1.628260
806	0.640000	1.589242
807	0.640000	0.964746
808	1.280000	2.435406
809	1.600000	2.327560
810	1.280000	2.792402
811	0.320000	0.394203
812	4.160000	4.848478
813	0.320000	1.717284
814	3.200000	3.580660
815	0.640000	1.061838
816	3.200000	3.502647
817	2.240000	2.559449
818	1.600000	3.062792
819	2.880000	3.104797
820	3.520000	4.140601
821	1.280000	1.370352
822	2.240000	2.372382
823	4.480000	4.719932
824	3.520000	3.908712
825	0.960000	1.085852
826	0.640000	1.055277
827	0.640000	0.904318
828	0.640000	1.578869
829	2.240000	2.338087
830	3.840000	3.965230
831	3.520000	3.697928
832	0.640000	0.880547
833	0.320000	0.371906
834	2.880000	3.291286
835	3.840000	4.043777
836	4.160000	4.459322
837	0.960000	1.072086
838	0.320000	0.714167
839	4.800000	5.140534
840	4.480000	5.001773
841	3.520000	3.778579
842	1.600000	1.635194
843	5.440000	5.584691
844	3.520000	3.596200
845	3.520000	3.658741
846	1.600000	1.761152
847	1.600000	2.491189
848	5.120000	5.254397
849	1.920000	1.945909
850	0.640000	0.700317
851	3.200000	3.516168
852	1.920000	1.955280
853	0.320000	0.489617
854	0.960000	1.034583
855	1.920000	2.050831
856	1.600000	1.963383
857	0.320000	1.371161
858	2.880000	3.009718
859	0.960000	1.151679
860	2.880000	3.474169
861	3.520000	3.747262
862	4.480000	4.776180
863	2.560000	2.717503
864	3.840000	4.123172
865	1.920000	1.983100
866	3.200000	3.237006
867	5.760000	5.792511
868	1.920000	2.305170
869	4.160000	4.210390
870	2.240000	3.017795
871	2.240000	2.754434
872	3.840000	4.001287
873	1.280000	1.507789
874	1.600000	1.660867
875	3.520000	3.849751
876	3.200000	3.275396
877	0.960000	1.514011
878	2.560000	3.317136
879	1.920000	2.286887
880	4.800000	4.995678
881	4.480000	4.572614
882	0.000000	0.564623
883	0.320000	2.630443
884	0.320000	2.395553
885	0.960000	1.800843
886	0.640000	1.163267
887	3.840000	4.135304
888	2.560000	3.582991
889	1.600000	1.782079
890	6.400000	6.506843
891	0.320000	2.339358
892	0.320000	3.355893
893	2.880000	3.421226
894	1.600000	3.549942
895	1.920000	2.108809
896	4.160000	7.841597
897	5.440000	5.893192
898	3.520000	3.640866
899	4.480000	4.723579
900	0.960000	1.148819
901	0.640000	2.252184
902	2.880000	3.224455
903	3.200000	4.288153
904	0.960000	1.562387
905	3.520000	4.098186
906	1.920000	3.408610
907	0.320000	2.369577
908	5.120000	5.281835
909	9.920000	9.994740
910	4.480000	4.546542
911	2.560000	2.583775
912	4.480000	4.509521
913	1.600000	1.960141
914	5.760000	5.852251
915	2.880000	2.912268
916	0.320000	2.249289
917	3.840000	3.915800
918	2.560000	2.773800
919	3.200000	3.721967
920	2.880000	3.304475
921	3.200000	3.762176
922	8.640000	8.726642
923	7.040000	7.191845
924	4.160000	4.527067
925	3.200000	3.365947
926	4.480000	4.716643
927	3.840000	4.044857
928	1.600000	1.837868
929	12.160000	12.312910
930	5.440000	5.553336
931	3.520000	3.880567
932	4.800000	4.923640
933	6.400000	6.519607
934	5.120000	5.286162
935	3.840000	4.453939
936	2.240000	2.462057
937	5.440000	5.719080
938	11.840000	12.074290
939	4.480000	4.630416
940	1.920000	4.004153
941	7.360000	7.559846
942	4.800000	6.890060
943	0.320000	2.313666
944	2.240000	2.481969
945	4.800000	4.933835
946	7.040000	7.260185
947	5.440000	5.991510
948	8.000000	8.161595
949	5.440000	5.585955
950	1.280000	1.294247
951	5.120000	5.423929
952	1.920000	2.446861
953	3.520000	4.000455
954	6.720000	6.890769
955	4.480000	4.681845
956	5.120000	5.232984
957	6.400000	6.507257
958	3.520000	3.756684
959	10.880000	11.293752
960	0.960000	4.666564
961	2.240000	2.398526
962	3.200000	3.932296
963	5.760000	5.915098
964	1.920000	5.173958
965	4.800000	5.096232
966	5.120000	5.410170
967	4.160000	4.863673
968	4.800000	4.852032
969	0.640000	1.814388
970	7.680000	8.040785
971	1.920000	1.990563
972	2.240000	2.677702
973	0.960000	1.170751
974	5.440000	5.826771
975	4.160000	4.354171
976	1.920000	2.622218
977	0.640000	2.723472
978	4.480000	4.892609
979	1.920000	1.945852
980	0.640000	1.211685
981	9.280000	10.074970
982	10.880000	10.930918
983	3.520000	3.799074
984	5.120000	5.221033
985	0.960000	2.189714
986	0.960000	0.991053
987	0.000000	0.053757
988	8.320000	8.487313
989	13.760000	14.312767
990	2.240000	2.523618
991	3.520000	3.640899
992	2.560000	3.674840
993	2.560000	2.918390
994	1.600000	1.917165
995	1.280000	2.521763
996	1.920000	2.030398
997	1.920000	2.013168
998	2.560000	2.610966
999	2.240000	2.593615
1000	0.000000	0.925592
1001	1.280000	1.802188
1002	2.240000	2.309112
1003	0.960000	1.847066
1004	2.880000	3.002351
1005	1.600000	2.123000
1006	1.920000	2.077878
1007	1.920000	2.005820
1008	3.520000	3.572550
1009	2.240000	2.444560
1010	1.600000	1.891326
1011	0.960000	1.773524
1012	2.880000	3.007324
1013	1.600000	2.336417
1014	2.240000	2.435645
1015	0.960000	1.771198
1016	2.880000	2.920469
1017	2.240000	2.748625
1018	1.920000	2.374858
1019	3.520000	3.674752
1020	2.560000	2.934951
1021	1.600000	2.482909
1022	0.320000	0.434521
1023	3.840000	3.943002
1024	1.280000	1.596624
1025	1.280000	1.567998
1026	0.960000	1.362464
1027	1.280000	1.622639
1028	1.920000	2.152532
1029	2.240000	2.402270
1030	1.280000	1.700636
1031	2.240000	2.406283
1032	0.640000	1.471690
1033	0.320000	0.916347
1034	1.600000	1.778388
1035	0.960000	1.654578
1036	1.280000	1.915943
1037	0.960000	1.438111
1038	1.600000	2.393808
1039	1.280000	1.884801
1040	0.640000	0.835498
1041	3.520000	3.877643
