No.	Z Error(mm)	3D Error
1	2.240000	2.636719
2	4.480000	4.641882
3	5.440000	5.642576
4	1.600000	1.914925
5	1.920000	2.350356
6	1.920000	2.517572
7	3.200000	3.449133
8	1.600000	1.760251
9	1.280000	1.829865
10	1.600000	3.983196
11	4.160000	5.195011
12	6.400000	6.616117
13	3.200000	3.400405
14	1.600000	1.737734
15	3.520000	3.936528
16	4.800000	5.093266
17	5.120000	5.336866
18	3.520000	3.975590
19	5.760000	6.085081
20	4.160000	4.774990
21	5.120000	5.348620
22	4.160000	4.277073
23	4.480000	4.913294
24	1.920000	2.825219
25	4.800000	4.943078
26	5.120000	5.542478
27	5.120000	5.476511
28	6.720000	6.856775
29	0.320000	1.811889
30	2.560000	3.566479
31	4.800000	5.207798
32	3.200000	3.422806
33	1.920000	2.705781
34	0.640000	2.094488
35	5.440000	6.053150
36	4.800000	5.554022
37	0.000000	2.557376
38	0.320000	1.171960
39	2.240000	3.251870
40	0.000000	0.000000
41	3.200000	3.699312
42	0.320000	0.858752
43	3.200000	3.382926
