No.	Z Error(mm)	3D Error
1	0.320000	0.643855
2	0.320000	3.247050
3	0.640000	0.834223
4	0.320000	1.275762
5	0.000000	2.206515
6	0.320000	0.714247
7	0.320000	1.090821
8	0.000000	1.270450
9	0.000000	1.437784
10	0.320000	0.680793
11	0.000000	0.363932
12	1.280000	2.189395
13	0.320000	0.771849
14	0.640000	2.571430
15	0.640000	2.220618
16	0.640000	3.098815
17	1.280000	2.662280
18	0.640000	1.477624
19	1.280000	2.403570
20	0.000000	0.592249
21	0.320000	0.657420
22	1.280000	2.439921
23	0.000000	3.351403
24	2.880000	7.493890
25	1.920000	4.019100
26	10.880000	18.943690
27	0.640000	1.000607
28	0.640000	1.302725
29	1.600000	2.459467
30	0.000000	3.374181
31	1.600000	2.991299
32	0.960000	1.932253
33	0.000000	1.616846
34	1.600000	2.825172
35	0.640000	0.861267
36	0.000000	1.395670
37	0.000000	0.553060
38	0.640000	1.009131
39	0.000000	0.444232
40	0.000000	0.379133
41	0.960000	1.245143
42	0.000000	1.107267
43	1.600000	6.231973
44	9.920000	12.448362
45	10.240000	12.884937
46	0.000000	0.672741
47	0.320000	0.756907
48	1.920000	3.401028
49	0.320000	1.474492
50	1.920000	2.995470
51	0.000000	0.308865
52	0.640000	3.097824
53	0.640000	1.720932
54	0.640000	1.372156
55	0.000000	2.461418
56	1.280000	1.411209
57	0.000000	0.463002
58	0.640000	1.101477
59	0.960000	2.424072
60	0.320000	1.417354
61	1.920000	2.581100
62	0.640000	1.157264
63	0.960000	1.342204
64	0.640000	0.766040
65	2.240000	3.462357
66	3.520000	5.918084
67	1.600000	2.162702
68	1.600000	2.556389
69	1.920000	3.086745
70	0.000000	2.247845
71	0.960000	2.199403
72	0.960000	2.821291
73	0.320000	0.498771
74	0.000000	0.972974
75	0.320000	1.390451
76	0.640000	3.825234
77	0.320000	0.863142
78	0.640000	1.335493
79	5.440000	9.476188
80	0.640000	1.324502
81	6.080000	9.000833
82	0.320000	1.033653
83	1.600000	2.024495
84	1.600000	1.919584
85	2.560000	3.772259
86	0.640000	3.606587
87	0.000000	1.098780
88	1.280000	1.741599
89	1.280000	1.959607
90	2.880000	3.679742
91	0.000000	0.410538
92	0.000000	2.003422
93	0.320000	0.578390
94	0.960000	1.616333
95	1.600000	2.266077
96	1.920000	2.595269
97	1.920000	3.313735
98	0.960000	2.448902
99	0.320000	0.735091
100	1.280000	1.733898
101	3.520000	4.506055
102	0.960000	3.507256
103	0.960000	2.447175
104	1.280000	3.115019
105	0.000000	1.916684
106	1.280000	1.817450
107	0.320000	1.989592
108	0.640000	0.991507
109	0.640000	1.076287
110	3.520000	4.949536
111	5.440000	8.979976
112	8.960000	18.665084
113	0.320000	1.254170
114	0.640000	2.080128
115	0.960000	1.995214
116	1.600000	2.946475
117	0.640000	3.415662
118	0.640000	0.945680
119	27.200000	41.726891
120	5.760000	15.854805
121	3.520000	5.979606
122	0.000000	1.440325
123	1.920000	3.330111
124	0.960000	2.182001
125	0.320000	0.390733
126	0.000000	0.961875
127	0.640000	1.153552
128	1.600000	3.738522
129	0.000000	0.361696
130	1.600000	2.047714
131	0.320000	0.925323
132	4.480000	5.541843
133	5.440000	7.891536
134	2.560000	4.601015
135	0.000000	0.758918
136	1.920000	2.747924
137	3.840000	6.148984
138	0.960000	4.060542
139	0.320000	2.026842
140	0.640000	1.658318
141	2.880000	4.314268
142	0.320000	0.466365
143	0.000000	0.187683
144	0.320000	0.573139
145	0.640000	2.478672
146	0.320000	0.812715
147	1.920000	2.865304
148	0.000000	0.399398
149	0.000000	0.379572
150	1.920000	2.846495
151	0.000000	0.288438
152	0.320000	0.611444
153	1.280000	2.571404
154	0.640000	0.862719
155	2.880000	6.698051
156	9.280000	19.437821
157	1.280000	2.538454
158	1.280000	3.296309
159	0.640000	1.281751
160	1.280000	2.942556
161	0.960000	1.921167
162	0.320000	1.815523
163	0.640000	2.039030
164	0.320000	1.633705
165	0.000000	3.410111
166	0.320000	0.528631
167	0.320000	0.941674
168	0.640000	2.356670
169	0.320000	1.560333
170	0.000000	0.727432
171	0.000000	0.728549
172	0.000000	1.725325
173	0.320000	1.349492
174	0.640000	0.898573
