No.	Z Error(mm)	3D Error
1	1.920000	2.669976
2	1.920000	2.822718
3	1.280000	1.722173
4	1.280000	3.037426
5	0.320000	0.824106
6	2.240000	3.615893
7	0.640000	2.084231
8	0.640000	1.576625
9	9.280000	15.747794
10	6.080000	12.002110
11	1.600000	2.358991
12	7.040000	11.213190
13	2.240000	4.227926
14	0.960000	1.764363
15	1.920000	3.360961
16	1.280000	1.687417
17	8.960000	15.480182
18	8.640000	15.731454
19	0.960000	2.360362
20	1.600000	5.010856
21	1.280000	2.928634
22	4.800000	8.984997
23	3.200000	3.925363
24	1.920000	3.911824
25	1.600000	2.896729
26	2.560000	11.992464
27	2.560000	4.628106
28	0.000000	0.634252
29	2.240000	6.922853
30	3.840000	13.533598
31	0.000000	0.896490
32	0.320000	0.388119
33	0.640000	1.290566
34	1.280000	1.901671
35	2.560000	4.379677
36	3.840000	5.576755
37	2.880000	4.268872
38	3.520000	5.279354
39	0.960000	1.791379
40	2.560000	3.685806
41	3.200000	5.317837
42	0.320000	1.611765
43	0.640000	2.623047
44	1.280000	2.008741
45	1.280000	2.359351
46	1.920000	3.585088
47	1.280000	2.030931
48	0.640000	1.378144
49	0.000000	1.488526
50	8.960000	17.302490
51	1.600000	4.172697
52	2.560000	6.308341
53	0.640000	3.469850
54	1.280000	1.618125
55	0.320000	4.221131
56	1.600000	7.601233
57	1.280000	2.990712
58	0.000000	0.480993
59	1.920000	3.293946
60	3.200000	6.289721
61	0.000000	0.327777
62	0.320000	0.780349
63	0.960000	1.526480
64	0.000000	0.615970
65	0.320000	1.661000
66	0.320000	2.079795
67	0.320000	0.893909
68	8.320000	13.809199
69	4.480000	7.618749
70	0.960000	4.043844
71	1.280000	2.881741
72	0.640000	2.743671
73	2.560000	5.647617
74	7.680000	12.835548
75	0.960000	2.305462
76	1.600000	3.190748
77	0.000000	2.568339
78	3.520000	4.333033
79	4.160000	6.306944
80	3.840000	7.135302
81	9.600000	17.456023
82	1.920000	4.295822
83	14.720000	24.800448
84	18.880000	27.742489
85	0.320000	1.461622
86	0.320000	1.320802
87	7.680000	12.474847
88	5.440000	10.320630
89	7.680000	8.426391
90	6.400000	8.082823
91	6.400000	10.535046
92	2.240000	5.950408
93	2.560000	3.779598
94	0.640000	1.137456
95	9.920000	18.656204
96	6.400000	9.576493
97	2.240000	3.662586
98	8.960000	15.525378
99	7.680000	14.422878
100	2.240000	3.575004
101	0.000000	0.976755
102	1.280000	2.139799
103	0.640000	1.187339
104	5.760000	16.548528
105	9.600000	16.184272
106	2.560000	6.157124
107	1.920000	3.757656
108	6.080000	10.742574
109	0.320000	1.969521
110	8.320000	13.784622
111	0.320000	1.419680
112	4.480000	7.853458
113	0.320000	0.740553
114	4.800000	9.732348
115	4.800000	9.889261
116	4.800000	8.363810
117	9.920000	13.197716
118	7.680000	10.132571
119	1.280000	1.837364
120	0.960000	5.718747
121	4.480000	9.493824
122	1.280000	3.335295
123	0.960000	2.425134
124	5.760000	9.365490
125	1.920000	3.935245
126	2.880000	6.664930
127	2.240000	5.130599
128	1.280000	3.035228
129	0.000000	1.785280
130	3.840000	4.962809
131	2.880000	4.556288
132	1.600000	2.909778
133	1.280000	1.631845
134	9.280000	16.790203
135	4.160000	6.755336
136	0.960000	1.353617
137	6.720000	10.950787
138	0.640000	1.383263
139	0.640000	2.118870
140	2.560000	6.193230
141	4.800000	11.620006
142	7.040000	14.033379
143	0.000000	0.270500
144	2.880000	5.567685
145	0.640000	4.476612
146	1.920000	4.783278
147	0.000000	2.732899
148	0.000000	1.576086
149	0.000000	1.252116
150	5.440000	9.373487
151	1.600000	2.275348
152	0.960000	1.301794
153	0.320000	3.284534
154	3.200000	6.639690
155	2.880000	7.709568
156	0.960000	1.193392
157	5.440000	8.450539
158	1.280000	2.799614
159	1.600000	3.355540
160	1.280000	3.167980
161	0.320000	0.788341
162	0.320000	0.931466
163	1.280000	2.840253
164	8.960000	13.970367
165	4.800000	10.058904
166	1.280000	2.302210
167	1.920000	3.791569
168	0.000000	1.577709
169	0.960000	2.169487
170	1.600000	2.312616
171	0.320000	1.004747
172	0.000000	1.593775
173	0.000000	1.030135
174	1.600000	2.569058
175	0.320000	1.130561
176	2.240000	4.745669
177	0.000000	3.280320
178	1.280000	2.792198
179	0.000000	0.321322
180	0.640000	1.072293
181	0.640000	3.085519
182	4.160000	6.973324
183	1.600000	3.359170
184	0.320000	2.249862
185	5.760000	14.217541
186	0.000000	1.345452
187	1.280000	2.914154
188	0.320000	1.351835
189	0.320000	1.625957
190	5.120000	9.382577
191	7.680000	13.711042
192	0.960000	2.055584
193	1.280000	2.973993
194	5.120000	9.885197
195	1.600000	3.941132
