No.	Z Error(mm)	3D Error
1	0.000000	0.384568
2	0.960000	1.417101
3	1.280000	1.789818
4	0.640000	1.845205
5	0.000000	0.991272
6	0.640000	1.332684
7	0.640000	3.454129
8	0.640000	0.869690
9	0.640000	0.997573
10	2.560000	7.116755
11	2.880000	4.066369
12	1.920000	2.484885
13	0.640000	1.763984
14	0.000000	2.325208
15	1.280000	2.036910
16	2.880000	3.476591
17	0.960000	1.704573
18	1.920000	3.174590
19	0.640000	1.117152
20	0.000000	0.594843
21	0.960000	2.198532
22	2.560000	5.696363
23	0.960000	1.118546
24	2.240000	3.178032
25	0.320000	0.509215
26	1.280000	4.708999
27	1.600000	2.913036
28	1.280000	2.065024
29	1.280000	2.471927
30	0.000000	0.983706
31	0.320000	0.947322
32	0.320000	0.858562
33	1.920000	2.566337
34	0.640000	0.938066
35	0.640000	1.767334
36	0.640000	0.852029
37	0.640000	1.141659
38	0.320000	0.925918
39	3.520000	5.614827
40	0.000000	0.161388
41	0.320000	0.635967
42	0.640000	2.225712
43	0.960000	3.248387
44	8.000000	9.942511
45	7.040000	8.399616
46	1.600000	1.887556
47	1.600000	2.145710
48	0.320000	0.679380
49	0.960000	2.135273
50	0.640000	3.472355
51	0.320000	1.637804
52	1.280000	1.740322
53	1.280000	1.735818
54	0.000000	0.113464
55	0.960000	4.037887
56	1.280000	3.402377
57	0.320000	2.195151
58	0.640000	2.074879
59	0.640000	1.566786
60	1.600000	4.717648
61	0.960000	2.118492
62	0.320000	0.705002
63	0.960000	1.304483
64	1.280000	1.781904
65	5.760000	9.103831
66	0.640000	2.807091
67	0.000000	1.078242
68	0.000000	0.806774
69	0.960000	1.626179
70	2.880000	4.082451
71	0.320000	1.183744
72	0.320000	1.081591
73	0.000000	0.742841
74	0.320000	0.581696
75	0.320000	1.329317
76	0.960000	2.127467
77	0.320000	0.960955
78	2.560000	4.423093
79	0.320000	2.572494
80	0.960000	1.329236
81	6.400000	7.278657
82	0.640000	1.313070
83	0.640000	1.459386
84	7.680000	10.824473
85	0.960000	3.250176
86	0.320000	1.820026
87	2.880000	4.787169
88	1.280000	2.655573
89	4.160000	5.333135
90	1.280000	2.179539
91	6.400000	19.633190
92	1.600000	2.187204
93	0.320000	2.039747
94	0.960000	1.392624
95	2.880000	6.085932
96	0.320000	1.787957
97	4.160000	7.137937
98	0.320000	1.258150
99	0.960000	1.390649
100	0.320000	0.832747
101	3.840000	4.338780
102	2.880000	7.891159
103	1.920000	2.322992
104	1.600000	3.003844
105	1.600000	2.527481
106	0.640000	2.077775
107	0.000000	1.013325
108	0.320000	0.892697
109	0.960000	1.255543
110	7.360000	11.744515
111	5.760000	10.102606
112	2.880000	3.843289
113	3.840000	5.993736
114	0.960000	2.576348
115	1.280000	2.130127
116	0.320000	2.339513
117	1.280000	3.557196
118	0.640000	1.290622
119	4.800000	6.235587
120	6.720000	17.080713
121	1.280000	4.076176
122	0.960000	3.863797
123	0.320000	4.084630
124	0.960000	2.010974
125	2.560000	5.266249
126	0.640000	1.660819
127	0.640000	1.532720
128	0.960000	1.733537
