No.	Z Error(mm)	3D Error
1	0.960000	1.346017
2	0.640000	1.288376
3	3.200000	5.479885
4	7.360000	14.116891
5	1.280000	2.834738
6	2.880000	5.162806
7	0.960000	2.269765
8	0.000000	0.136991
9	0.000000	0.603853
10	0.000000	1.123291
11	1.920000	3.120823
12	2.560000	3.866708
13	3.840000	7.944588
14	4.480000	8.525973
15	1.920000	3.618445
16	0.320000	1.513468
17	0.320000	1.139681
18	1.920000	2.830977
19	2.880000	6.387806
20	1.280000	1.861962
21	2.880000	5.195879
22	0.960000	2.046009
23	3.840000	8.891574
24	1.600000	4.892054
25	0.640000	1.054649
26	1.600000	10.406195
27	4.480000	7.197145
28	3.840000	6.686067
29	6.400000	7.758127
30	6.080000	9.932009
31	0.000000	0.871296
32	6.400000	12.404763
33	0.640000	1.511028
34	0.320000	0.915349
35	4.160000	6.846250
36	2.240000	4.509178
37	9.280000	14.529716
38	0.320000	0.728983
39	8.320000	12.933378
40	0.320000	1.004741
41	3.200000	5.679577
42	3.520000	6.850624
43	1.920000	5.067408
44	4.480000	6.328584
45	1.920000	2.774364
46	0.320000	0.695033
47	2.240000	4.475729
48	1.280000	2.378648
49	0.960000	1.292022
50	5.120000	12.088318
51	2.240000	4.806411
52	6.720000	14.807540
53	1.600000	4.716077
54	2.880000	6.822777
55	1.600000	6.278651
56	0.320000	2.724711
57	0.000000	0.588514
58	0.960000	2.082256
59	8.000000	12.899445
60	0.640000	1.222060
61	1.920000	4.510594
62	4.480000	7.519723
63	9.280000	13.998598
64	4.480000	6.790693
65	2.240000	8.001669
66	4.160000	9.721152
67	4.800000	7.969587
68	3.520000	6.855627
69	4.480000	8.852538
70	4.480000	8.895614
71	5.440000	12.698210
72	5.760000	15.696544
73	2.560000	5.227928
74	0.640000	1.838539
75	0.640000	1.257378
76	5.440000	11.514730
77	3.520000	4.585589
78	1.600000	2.178507
79	3.520000	7.705588
80	4.800000	10.159664
81	5.760000	6.565225
82	14.400000	22.465562
83	0.320000	0.655798
84	12.160000	22.313806
85	0.320000	0.820016
86	11.520000	20.712622
87	2.240000	3.107736
88	0.960000	1.351111
89	0.320000	3.109139
90	0.320000	1.503690
91	2.880000	4.092404
92	0.960000	2.265877
93	0.960000	2.901687
94	6.720000	11.302909
95	2.240000	3.772320
96	0.640000	1.500600
97	11.520000	19.462642
98	2.240000	3.824083
99	2.560000	4.076538
100	0.640000	1.492792
101	3.200000	3.526571
102	8.000000	13.704385
103	1.920000	2.297794
104	3.840000	10.642857
105	9.280000	15.504963
106	0.960000	1.741769
107	1.280000	2.074643
108	2.880000	6.512957
109	1.280000	1.803965
110	2.240000	4.290925
111	1.920000	3.662428
112	5.760000	9.905569
113	0.960000	2.707168
114	0.320000	2.179969
115	2.240000	4.487609
116	8.320000	14.622173
117	22.400000	29.979280
118	6.080000	8.687025
119	7.680000	11.510008
120	2.560000	7.887691
121	0.640000	1.847402
122	2.560000	6.184672
123	1.600000	3.254963
124	2.560000	5.621620
125	6.400000	11.928139
126	1.280000	2.679500
127	1.920000	4.854621
128	10.880000	19.405325
129	2.560000	3.728552
130	1.920000	2.307813
131	0.320000	0.728643
132	6.080000	10.448743
133	4.480000	9.275785
134	6.720000	11.107149
135	1.280000	1.459202
136	3.200000	4.593600
137	5.440000	7.686625
138	7.040000	14.422539
139	6.720000	14.451438
140	1.600000	5.999993
141	0.640000	5.213780
142	1.920000	2.813329
143	6.080000	10.845920
144	0.640000	4.958177
145	0.320000	0.858419
146	1.920000	5.340846
147	2.880000	5.833666
148	0.320000	1.097731
149	7.040000	12.224779
150	1.280000	3.414701
151	3.840000	9.236313
152	0.000000	1.843866
153	3.520000	5.895548
154	1.280000	2.644582
155	5.760000	10.843516
156	1.280000	4.436409
157	0.000000	2.957956
158	1.600000	3.683424
159	3.520000	6.722004
160	2.560000	6.008407
161	1.280000	3.053902
162	0.320000	2.266264
163	0.640000	1.463976
164	0.000000	1.664366
165	4.800000	7.710460
166	1.280000	2.016574
167	0.320000	2.451484
168	7.040000	11.362466
169	0.640000	1.596927
170	0.320000	0.680099
171	0.640000	1.029483
172	1.600000	2.689587
173	1.280000	1.992161
174	0.640000	1.024239
175	0.320000	0.638280
176	8.320000	14.477573
177	0.320000	3.239516
178	0.960000	2.168303
179	2.240000	2.557335
180	1.280000	1.525070
181	2.240000	4.381843
182	0.320000	0.710613
183	0.960000	2.815662
184	1.600000	3.621429
185	5.440000	13.830862
186	0.320000	0.590922
187	8.960000	15.903111
188	1.280000	2.433514
189	0.960000	4.439707
190	2.560000	3.706228
191	1.600000	3.562251
192	0.320000	1.996934
193	0.960000	3.528925
194	10.880000	18.764253
195	8.320000	15.338496
196	4.160000	8.840512
197	0.640000	1.876538
198	0.320000	3.076014
199	0.000000	2.823164
200	1.600000	11.111486
201	1.920000	4.028528
202	0.320000	0.914293
203	1.600000	3.435647
204	1.920000	4.384465
205	0.640000	4.068846
206	0.320000	3.155038
207	0.960000	3.173412
208	1.280000	2.781437
209	1.920000	3.224616
210	1.600000	5.051775
211	1.600000	3.643573
212	0.960000	1.597199
213	2.880000	5.435865
214	1.280000	2.230601
215	0.960000	1.834973
216	1.600000	3.091177
217	6.400000	13.355314
218	1.600000	4.097078
219	0.960000	1.805582
220	4.800000	7.659830
221	2.560000	4.380174
222	4.160000	7.459802
223	5.120000	8.661740
224	0.000000	0.151557
225	2.560000	5.129721
226	2.560000	4.605178
227	0.000000	2.291461
228	0.320000	0.439315
229	1.920000	2.797609
230	3.840000	7.442631
231	6.720000	10.404661
232	1.920000	4.241123
233	5.120000	8.471400
234	1.280000	2.568679
235	4.160000	6.930351
236	1.920000	4.019904
237	4.160000	7.433545
238	5.120000	8.095907
239	3.840000	7.797862
240	0.960000	1.913484
241	1.280000	2.287351
242	5.120000	8.227543
243	1.280000	3.728111
244	1.920000	3.923520
245	7.680000	13.609529
246	3.520000	5.936633
247	1.600000	3.563246
248	1.280000	2.553530
249	5.440000	11.813171
250	2.240000	5.203731
251	4.800000	9.625103
252	0.320000	0.502636
253	5.760000	10.537507
254	3.840000	7.357884
255	2.240000	3.698732
256	0.960000	1.310849
257	4.480000	8.629295
258	1.600000	3.126629
259	4.480000	9.062929
260	0.320000	2.468779
261	0.960000	2.427282
262	5.120000	7.950129
263	1.920000	3.886647
264	4.800000	7.711451
265	2.240000	3.643511
266	0.640000	1.186585
267	5.120000	9.124675
268	0.320000	1.669968
269	3.520000	7.574515
270	3.200000	5.803108
271	3.200000	6.056084
272	3.200000	5.697453
273	7.040000	10.800517
274	0.640000	1.744444
275	3.840000	6.726712
276	4.800000	9.037183
277	5.760000	9.910444
278	4.480000	8.210000
279	5.440000	9.214814
280	4.800000	8.675511
281	4.800000	8.698365
282	6.080000	10.928944
283	2.560000	5.768312
284	0.320000	1.252597
285	4.160000	7.069341
286	8.320000	14.938792
287	4.480000	7.646462
288	10.560000	16.752494
289	6.080000	10.709550
290	5.760000	11.420575
291	1.600000	2.793664
292	4.800000	7.320566
293	0.320000	0.844358
294	5.440000	10.942219
295	3.200000	5.871129
296	1.600000	3.255932
297	0.960000	1.686610
298	7.680000	14.411937
299	5.760000	9.113796
300	5.760000	11.353244
301	0.640000	14.619782
302	2.560000	3.380139
303	3.200000	6.307673
304	5.120000	7.783797
305	6.080000	8.563713
306	7.360000	11.740593
307	2.560000	10.592431
308	5.440000	16.500550
309	0.960000	2.945496
310	4.160000	16.962070
311	10.560000	17.288726
312	2.880000	14.445755
313	2.240000	3.631883
314	2.880000	3.412376
315	5.760000	11.198551
316	0.320000	1.454946
317	0.640000	14.697746
318	0.000000	5.451941
319	2.880000	3.430882
320	0.320000	1.573396
321	3.520000	5.509130
322	0.640000	3.714108
323	2.240000	3.378395
324	0.640000	7.421616
325	5.120000	7.664448
326	3.840000	10.146863
327	5.760000	11.315352
328	0.640000	2.874408
329	1.920000	2.850669
330	1.280000	2.123699
331	0.320000	1.483032
332	3.200000	5.378633
333	3.520000	8.108995
334	0.000000	1.425395
335	2.560000	3.904494
336	1.280000	1.860112
337	0.320000	3.796591
338	0.960000	2.005886
339	0.640000	3.324093
340	1.920000	6.268854
341	2.240000	5.052671
342	1.280000	2.796240
343	1.920000	4.452227
344	0.320000	2.719599
345	0.960000	5.379456
346	3.520000	7.175437
347	1.920000	3.228986
348	2.560000	8.433650
349	0.000000	3.098991
350	0.960000	1.478839
351	0.960000	2.655954
352	0.640000	3.001889
353	0.320000	2.497236
354	1.280000	5.511400
355	0.960000	1.515598
356	2.880000	7.668818
357	3.520000	8.277320
358	0.960000	1.841058
359	4.800000	11.501841
360	2.560000	4.412471
361	1.920000	2.899085
362	3.520000	6.047640
363	1.600000	3.746022
364	2.560000	4.387651
365	4.800000	7.522068
366	0.640000	1.982395
367	0.320000	0.635540
368	7.680000	12.764153
369	0.640000	4.646017
370	1.280000	2.053640
371	0.320000	0.388547
372	4.480000	11.335903
373	0.320000	0.456415
374	4.800000	7.066345
375	8.960000	15.835022
376	4.160000	8.941498
377	3.520000	6.205396
378	8.320000	13.251570
379	0.000000	0.826856
380	0.640000	0.938232
381	8.320000	12.784804
382	1.280000	2.063540
383	1.600000	2.598549
384	4.480000	8.736664
385	1.280000	4.272068
386	3.840000	9.510331
387	0.640000	1.472679
388	0.000000	0.159455
389	6.400000	10.711412
