No.	Z Error(mm)	3D Error
1	1.280000	2.595769
2	0.000000	1.504013
3	0.640000	0.804064
4	0.320000	1.200531
5	0.640000	3.175457
6	0.000000	5.054395
7	1.280000	5.191649
8	0.000000	0.603820
9	1.280000	2.054023
10	0.640000	3.621037
11	0.320000	2.094794
12	0.320000	0.670314
13	0.000000	2.088912
14	0.640000	0.875795
15	1.280000	2.451990
16	1.600000	4.813073
17	0.000000	0.488317
18	0.000000	0.559211
19	0.320000	1.349640
20	0.960000	2.500805
21	8.320000	14.965551
22	1.600000	2.971796
23	1.920000	3.375390
24	3.200000	6.636100
25	0.320000	2.679534
26	0.320000	0.593507
27	0.960000	1.712382
28	0.640000	1.509510
29	0.320000	1.394489
30	1.600000	2.562559
31	0.640000	5.009739
32	0.320000	2.785484
33	1.280000	2.037658
34	0.320000	2.293531
35	0.320000	1.511761
36	0.640000	2.217068
37	0.640000	2.299014
38	0.320000	1.890115
39	0.320000	1.582117
40	0.000000	1.405082
41	0.000000	2.294309
42	0.640000	1.491529
43	0.640000	1.567282
44	0.320000	1.325739
45	0.000000	1.920026
46	0.000000	0.104420
47	0.000000	3.374549
48	0.000000	0.213295
49	0.320000	0.531936
50	0.000000	1.231801
51	0.000000	2.999800
52	0.000000	1.126613
53	0.640000	2.097327
54	0.640000	1.336053
55	0.640000	2.858793
56	0.320000	2.940633
57	1.280000	2.945750
58	0.320000	4.229050
59	1.920000	6.725436
60	0.960000	3.286759
61	0.000000	0.483864
62	0.320000	1.125139
63	0.000000	2.121847
64	0.640000	0.801756
65	7.680000	12.483566
66	0.320000	1.405796
67	0.320000	1.298517
68	0.320000	2.972513
69	0.320000	0.409192
70	0.960000	1.292371
71	0.640000	1.586915
72	0.960000	2.352395
73	0.000000	0.838662
74	0.000000	0.897609
75	0.320000	1.905454
76	0.960000	1.901259
77	0.640000	4.549453
78	0.000000	1.590253
79	0.320000	2.062312
80	0.000000	1.134591
81	1.600000	3.869331
82	0.000000	0.288068
