No.	Z Error(mm)	3D Error
1	5.760000	25.164048
2	11.200000	34.304765
3	7.360000	30.846236
4	3.200000	26.649481
5	1.920000	26.143529
6	2.240000	32.454034
7	2.560000	32.226672
8	3.200000	31.120381
9	6.400000	31.559300
10	6.400000	33.354108
11	6.720000	32.380596
12	6.400000	32.849310
13	5.120000	30.733917
14	7.040000	32.355901
15	7.040000	30.907360
16	10.240000	32.845694
17	8.320000	34.924435
18	8.640000	35.242592
19	1.280000	27.098380
20	1.920000	27.209600
21	9.280000	31.910520
22	11.840000	33.390772
23	10.560000	31.422012
24	13.120000	32.735968
25	6.720000	29.827809
26	5.440000	30.505241
27	3.520000	27.983590
28	5.120000	28.982327
29	3.200000	32.557731
30	3.840000	33.176433
31	7.680000	33.451171
32	6.080000	30.739190
33	4.480000	27.129228
34	5.120000	26.864133
35	8.640000	32.519289
36	7.040000	32.410956
37	6.400000	31.976488
38	7.680000	32.816926
39	6.720000	31.039200
40	3.840000	27.598136
41	4.800000	28.609945
42	5.440000	30.147475
43	5.120000	29.582792
44	7.360000	33.400994
45	7.360000	34.100122
46	6.400000	30.803926
47	4.800000	30.705132
48	6.400000	30.280994
49	6.400000	28.745397
50	10.880000	32.528613
51	9.280000	32.580881
52	9.920000	34.058749
53	9.280000	31.484691
54	4.160000	29.290086
55	6.720000	30.489103
56	7.040000	32.797167
57	4.480000	29.889790
58	5.120000	30.253591
59	2.880000	27.822103
60	1.920000	23.778750
61	5.760000	29.928433
62	7.040000	30.644472
63	2.560000	25.535763
64	4.800000	26.609488
65	5.120000	30.825334
66	5.760000	30.748800
67	2.240000	26.848243
68	3.520000	29.885438
69	4.480000	32.402637
70	3.200000	31.427816
71	2.560000	28.385080
72	6.400000	29.398234
73	5.760000	27.221250
74	4.480000	25.511455
75	6.720000	30.174074
76	6.080000	31.798927
77	11.520000	38.472702
78	8.000000	36.525630
79	1.600000	27.141620
80	2.240000	27.246926
81	4.800000	31.068057
82	3.520000	29.113486
83	9.920000	32.449454
84	3.520000	28.310405
85	7.040000	34.304855
86	5.440000	31.118366
87	6.400000	28.721056
88	6.720000	30.054400
89	2.240000	29.438055
90	3.840000	29.401179
91	7.680000	29.159337
92	4.800000	26.136844
93	4.800000	26.551524
94	8.640000	31.738418
95	7.680000	32.787306
96	4.160000	29.768727
97	5.120000	30.468677
98	2.560000	25.514674
99	1.920000	25.695030
100	4.160000	29.690443
101	5.760000	30.718723
102	10.560000	33.996162
103	12.800000	36.218731
104	3.840000	28.487455
105	5.440000	30.326468
106	5.760000	32.856743
107	6.080000	32.754940
108	7.680000	29.359100
109	3.840000	26.720929
110	5.120000	27.519039
111	6.720000	28.971308
112	8.640000	32.339436
113	6.080000	31.778237
114	5.440000	27.769884
115	5.440000	28.832359
116	3.520000	29.980092
117	0.960000	28.776945
118	5.120000	27.624616
119	7.680000	29.794021
120	9.600000	32.765125
121	8.320000	30.602541
122	7.680000	33.958387
123	6.720000	34.048923
124	5.440000	32.808269
125	5.760000	29.833241
126	6.080000	32.535020
127	9.280000	34.083783
128	10.880000	37.333541
129	8.640000	33.602202
130	6.720000	33.131443
131	5.440000	31.786967
132	3.840000	29.781089
133	4.800000	31.028231
134	8.000000	30.663652
135	8.320000	31.080968
136	4.800000	28.662932
137	5.120000	27.915267
138	7.040000	29.794639
139	8.640000	31.976278
140	8.640000	33.578701
141	7.360000	32.170254
142	4.480000	29.287235
143	7.040000	30.702238
144	3.840000	25.689802
145	7.040000	28.157814
146	4.480000	29.771143
147	3.520000	27.362467
148	8.000000	29.715088
149	8.960000	32.049544
150	6.720000	30.285920
151	6.720000	26.509194
152	7.680000	27.438686
153	3.840000	33.619393
154	2.560000	33.315787
155	7.040000	28.090903
156	9.280000	30.724115
157	8.640000	28.893322
158	7.360000	28.785091
159	6.400000	29.204589
160	6.400000	29.272208
161	9.920000	33.129956
162	8.320000	30.548500
163	8.000000	30.454327
164	9.920000	32.429539
165	8.960000	32.891614
166	8.320000	31.513128
167	11.840000	33.540185
168	9.600000	32.437899
169	11.200000	33.130870
170	13.760000	34.964455
171	8.320000	31.880915
172	6.720000	29.812057
173	7.360000	30.388309
174	5.120000	30.050518
175	10.240000	32.955403
176	9.920000	32.410749
177	10.240000	33.315157
178	10.880000	32.559211
179	10.240000	32.806001
180	9.920000	31.257370
181	9.600000	32.420304
182	13.760000	35.366295
183	10.240000	31.610911
184	10.880000	31.633863
185	9.280000	30.440000
186	9.600000	31.475756
187	8.320000	29.898236
188	7.040000	29.790360
189	12.160000	32.516248
190	6.720000	30.725476
191	8.640000	30.795554
192	7.680000	28.855560
193	12.160000	33.385539
194	7.360000	29.073678
195	8.960000	30.830655
196	9.920000	30.712109
197	8.960000	31.269577
198	8.960000	29.326875
199	8.000000	31.503452
200	10.560000	32.242871
201	7.680000	30.028822
202	7.680000	29.587301
203	6.400000	30.072461
204	6.720000	31.065781
205	7.360000	29.561007
206	8.000000	29.176383
207	8.640000	30.129058
208	7.040000	29.446148
209	7.680000	31.458411
210	9.600000	32.093323
211	10.880000	30.810660
212	9.280000	30.609155
213	7.040000	29.365203
214	8.960000	30.379805
215	8.960000	30.344935
216	9.600000	29.753481
217	10.240000	32.237580
218	8.960000	30.716534
219	7.680000	30.472689
220	3.840000	29.645377
221	4.160000	29.228991
222	4.480000	29.073193
223	7.360000	28.902286
224	6.080000	28.899713
225	5.120000	29.722154
226	7.680000	31.388353
227	5.440000	28.216031
228	6.400000	29.910939
229	6.080000	29.418326
230	5.120000	28.743780
231	5.120000	29.949728
232	3.840000	29.129659
233	4.480000	29.935210
234	3.840000	28.882710
235	6.720000	32.240240
236	4.480000	29.122558
237	3.840000	27.865700
238	4.800000	28.698013
239	6.400000	28.802768
240	5.440000	28.530061
241	6.400000	28.457953
242	5.440000	29.235200
243	7.680000	31.284888
244	6.400000	30.796524
245	5.120000	29.757242
246	5.440000	29.175874
247	4.160000	29.458135
248	5.760000	29.393962
249	7.680000	31.766618
250	6.080000	30.099894
251	6.080000	29.052643
252	5.120000	27.443511
253	7.040000	30.803390
254	4.800000	29.684194
255	6.080000	30.475139
256	7.360000	32.648715
257	8.000000	30.478847
258	6.720000	30.252207
259	8.000000	31.291954
260	6.720000	30.369303
261	8.320000	31.951690
262	7.040000	31.299155
263	7.040000	29.565682
264	6.080000	31.470735
265	6.400000	29.171344
266	5.120000	29.779838
267	6.080000	30.118365
268	7.040000	29.494978
269	5.760000	27.574622
270	4.800000	29.797385
271	6.080000	28.775263
272	4.480000	30.245601
273	5.120000	29.863911
274	6.400000	29.994511
275	8.640000	30.112394
276	8.640000	32.513278
277	6.400000	29.613013
278	6.720000	29.985615
279	5.440000	30.714822
280	6.720000	30.033263
281	8.320000	30.797903
282	6.720000	30.309018
283	4.800000	28.294907
284	6.400000	30.615977
285	6.400000	29.620247
286	8.320000	30.721621
287	8.000000	29.764688
288	5.760000	28.779107
289	8.000000	31.008509
290	8.000000	31.023268
291	7.040000	29.699841
292	5.440000	29.009951
293	8.320000	30.193827
294	8.960000	31.776283
295	6.720000	29.107162
296	8.640000	32.176849
297	8.960000	31.343769
298	7.360000	30.614982
299	7.040000	28.899440
300	8.000000	29.724458
301	3.200000	29.099653
302	3.200000	28.842960
303	4.800000	31.443500
304	4.160000	29.938524
305	5.440000	31.556285
306	5.120000	30.438751
307	3.520000	32.232238
308	5.120000	32.014741
309	5.440000	30.521006
310	6.400000	32.977418
311	2.240000	30.695615
312	1.280000	28.766368
313	1.920000	29.657731
314	0.640000	29.753973
315	4.800000	30.396417
316	2.880000	30.065454
317	2.560000	29.194260
318	1.600000	29.948657
319	0.640000	30.022843
320	1.600000	30.537718
321	3.200000	30.674831
322	2.560000	28.809653
323	5.440000	31.370388
324	1.600000	27.311101
325	4.160000	29.451107
326	7.360000	33.159022
327	9.600000	34.902205
328	7.680000	33.050158
329	6.080000	31.651227
330	5.120000	31.028723
331	5.120000	29.853065
332	5.760000	30.812853
333	3.840000	29.564331
334	6.080000	30.047700
335	7.360000	31.754342
336	6.400000	28.836995
337	8.000000	31.980597
338	7.360000	32.692182
339	5.440000	32.026838
340	6.720000	30.746150
341	6.720000	31.402711
342	6.400000	31.809585
343	6.080000	31.428118
344	4.800000	31.144618
345	5.440000	30.270622
346	4.160000	31.607550
347	6.400000	30.742734
348	6.720000	32.936964
349	8.000000	32.648731
350	2.880000	29.242897
351	4.800000	30.881918
352	7.680000	30.760561
353	0.960000	24.553683
354	5.120000	27.888609
355	6.400000	28.590999
356	8.000000	29.870459
357	7.680000	29.650816
358	8.320000	30.132133
359	9.600000	30.061226
360	7.680000	28.234999
361	7.680000	30.534610
362	6.720000	27.360866
363	7.040000	28.561277
364	8.320000	29.590889
365	4.800000	27.535693
366	1.280000	29.255066
367	6.400000	30.245700
368	7.040000	30.290149
369	9.600000	30.746791
370	5.440000	29.750615
371	6.720000	29.085789
372	4.480000	26.595104
373	7.680000	29.884498
374	6.400000	28.880525
375	7.040000	29.414854
376	5.760000	28.142672
377	8.320000	29.370318
378	6.720000	28.664720
379	7.360000	28.351177
380	5.120000	28.378385
381	6.720000	28.437930
382	8.320000	29.659946
383	7.360000	28.605475
384	8.960000	28.285538
385	5.120000	27.851936
386	6.080000	27.728965
387	4.480000	28.182974
388	5.440000	29.436955
389	5.120000	26.285699
390	10.240000	30.672041
391	9.600000	29.993583
392	8.000000	29.951512
393	10.240000	31.592999
394	8.960000	28.802666
395	7.680000	30.503894
396	6.400000	27.814433
397	7.360000	28.107211
398	6.720000	28.990184
399	7.360000	27.993048
400	8.000000	28.548599
401	8.960000	29.716027
402	5.760000	28.100156
403	5.120000	27.370074
404	8.000000	29.956112
405	5.440000	29.056111
406	7.360000	27.900830
407	9.920000	28.182666
408	9.280000	29.938691
409	9.600000	28.412470
410	8.320000	28.793674
411	7.040000	29.617742
412	7.680000	27.605950
413	8.320000	28.517997
414	9.280000	29.479967
415	8.320000	29.220779
416	8.000000	29.020571
417	8.320000	29.461713
418	7.680000	29.022598
419	7.360000	29.889317
420	5.760000	29.386772
421	8.960000	29.469382
422	6.400000	29.361233
423	5.440000	61.346417
424	5.120000	27.537476
425	7.040000	29.228440
426	8.320000	28.388120
427	6.400000	29.517253
428	7.360000	28.045414
429	7.040000	28.247604
430	6.080000	30.114218
431	7.680000	28.581502
432	7.360000	27.186758
433	9.920000	32.029369
434	13.120000	34.067540
435	9.920000	32.392369
436	11.200000	32.752211
437	8.640000	31.414843
438	9.600000	31.955683
439	10.240000	32.822452
440	9.280000	31.441668
441	8.960000	32.347746
442	8.320000	31.001535
443	10.880000	31.921013
444	10.560000	32.800918
445	12.160000	33.838834
446	6.080000	30.610443
447	12.160000	33.960313
448	11.200000	32.736298
449	9.600000	31.980695
450	10.880000	31.794162
451	10.560000	33.164405
452	9.920000	32.529205
453	9.600000	31.865615
454	9.920000	32.192580
455	8.640000	31.955807
456	12.160000	31.398541
457	7.360000	30.484609
458	10.560000	32.327827
459	9.920000	31.576441
460	10.560000	31.630728
461	11.520000	32.502309
462	11.840000	32.536976
463	9.920000	31.290484
464	11.520000	30.860361
465	10.880000	32.957612
466	11.520000	32.865388
467	9.920000	32.102100
468	11.520000	34.587465
469	11.520000	32.958261
470	9.600000	32.683442
471	8.640000	30.751127
472	8.640000	31.422469
473	9.600000	31.108093
474	10.560000	33.423912
475	9.600000	31.534113
476	7.360000	30.805032
477	9.920000	32.678313
478	8.640000	32.228422
479	11.200000	33.280067
480	13.120000	33.739722
481	7.680000	30.216063
482	9.920000	31.647906
483	11.520000	33.314221
484	10.240000	32.956222
485	8.640000	32.754291
486	10.240000	32.085579
487	10.880000	33.633083
488	10.240000	31.037500
489	10.880000	33.010680
490	8.960000	31.937756
491	13.440000	33.760607
492	9.280000	31.589130
493	8.320000	31.988148
494	4.160000	30.659503
495	4.480000	30.231108
496	4.160000	29.211516
497	4.160000	30.715260
498	5.760000	31.931706
499	3.840000	29.698064
500	5.440000	29.193664
501	6.080000	32.442893
502	3.520000	29.830427
503	2.880000	29.504630
504	4.160000	29.664922
505	3.200000	29.576236
506	3.840000	29.458529
507	3.840000	29.455455
508	5.760000	31.733334
509	3.520000	28.726774
510	4.800000	30.118371
511	5.120000	29.744125
512	4.800000	30.443190
513	5.760000	30.929938
514	5.440000	29.631738
515	3.840000	29.516340
516	4.800000	28.822223
517	2.240000	29.232818
518	4.160000	28.408182
519	6.400000	30.144778
520	6.720000	30.741203
521	5.120000	31.113161
522	5.760000	29.446761
523	5.120000	31.581987
524	5.120000	30.903469
525	4.480000	28.540972
526	6.400000	32.070959
527	6.080000	31.401082
528	5.440000	31.486182
529	5.120000	29.681052
530	5.760000	31.739320
531	6.080000	30.232247
532	3.520000	29.463422
533	7.040000	29.966861
534	7.040000	29.910910
535	11.840000	32.566986
536	4.160000	28.668163
537	5.120000	28.974925
538	7.040000	29.560889
539	5.120000	28.589615
540	9.280000	32.925120
541	6.080000	29.639749
542	11.200000	33.261612
543	6.400000	29.498310
544	5.120000	29.119538
545	11.840000	32.971805
546	8.960000	30.475485
547	8.960000	32.017110
548	9.920000	31.374427
549	7.360000	30.464317
550	8.000000	30.979857
551	8.320000	30.088489
552	8.640000	31.673763
553	8.640000	30.273930
554	7.680000	30.811367
555	5.760000	30.065392
556	4.800000	27.969838
557	8.320000	30.787217
558	6.720000	29.569373
559	5.760000	28.393503
560	4.160000	28.525868
561	9.920000	31.890929
562	10.880000	32.807230
563	9.600000	32.225200
564	5.440000	30.051386
565	6.400000	30.189639
566	3.840000	29.287145
567	9.600000	31.896754
568	8.000000	30.286083
569	7.040000	29.854024
570	3.520000	28.009388
571	4.800000	29.085835
572	8.640000	32.370059
573	8.960000	30.638799
574	7.680000	30.267402
575	8.640000	31.357889
576	8.000000	30.330416
577	5.120000	29.873047
578	6.080000	29.460526
579	7.040000	29.779796
580	4.800000	29.723575
581	9.600000	31.427582
582	8.960000	31.837563
583	5.760000	29.187792
584	4.160000	27.689989
585	6.080000	28.109745
586	8.640000	32.328324
587	7.360000	31.349101
588	7.040000	31.232824
589	3.520000	30.206289
590	6.720000	34.518632
591	6.400000	35.539677
592	7.040000	35.112064
593	2.240000	30.760631
594	5.760000	34.750806
595	4.800000	32.777514
596	4.160000	31.954465
597	7.040000	34.370101
598	6.080000	33.911904
599	6.720000	34.781151
600	6.080000	34.511323
601	5.760000	33.971034
602	6.400000	36.486077
603	5.760000	36.206549
604	6.080000	34.053772
605	6.720000	36.352872
606	8.320000	36.115652
607	5.120000	33.623442
608	5.440000	33.551247
609	9.280000	36.228927
610	6.720000	35.699614
611	5.440000	34.070994
612	6.400000	34.085437
613	7.360000	36.175420
614	5.760000	35.460716
615	4.800000	33.422675
616	5.760000	30.807976
617	5.440000	30.830955
618	4.800000	30.518849
619	5.760000	31.024015
620	5.760000	31.248986
621	3.200000	30.818362
622	3.840000	31.105305
623	5.120000	30.396268
624	4.480000	31.801488
625	3.840000	30.431868
626	4.480000	31.551320
627	3.200000	31.227378
628	4.800000	31.014311
629	4.160000	31.099868
630	4.800000	30.792830
631	4.800000	30.034316
632	4.160000	30.487756
633	5.760000	31.978800
634	4.480000	29.857211
635	2.240000	29.226583
636	2.560000	30.989996
637	3.200000	29.788945
638	2.240000	31.183960
639	4.480000	30.759852
640	5.120000	30.579604
641	4.480000	31.452443
642	2.880000	30.350246
643	3.520000	31.228441
644	4.480000	30.970508
645	5.760000	31.432452
646	4.480000	32.114043
647	3.520000	30.039643
648	4.800000	34.254515
649	5.120000	31.200878
650	4.160000	31.355733
651	3.840000	30.692764
652	2.240000	32.504560
653	4.160000	30.423412
654	4.800000	30.285546
655	5.440000	32.004041
656	4.800000	29.280799
657	5.120000	30.170599
658	3.840000	29.701798
659	4.800000	30.831679
660	4.480000	30.207262
661	6.400000	31.945630
662	2.880000	32.097163
663	4.800000	31.987262
664	5.760000	31.246275
665	3.200000	30.328731
666	3.200000	30.776648
667	2.560000	31.568321
668	4.800000	30.502304
669	4.480000	30.872333
670	4.480000	30.172832
671	4.800000	31.822932
672	3.520000	30.868285
673	4.480000	31.098139
674	3.520000	30.448795
675	5.120000	32.149472
676	4.480000	32.502148
677	4.160000	32.730782
678	3.200000	30.680502
679	6.720000	33.111080
680	4.160000	33.316853
681	4.480000	31.457999
682	3.840000	31.417821
683	3.520000	31.006743
684	3.200000	30.285274
685	5.440000	30.103674
686	4.800000	30.345106
687	2.880000	30.459138
688	4.800000	31.757123
689	5.120000	30.260564
690	5.120000	30.798790
691	3.520000	29.797025
692	4.480000	28.806612
693	5.120000	30.813331
694	4.480000	30.720485
695	4.800000	30.456376
696	5.120000	30.359698
697	4.800000	29.529532
698	5.440000	31.798047
699	6.080000	31.948900
700	3.840000	30.532111
701	4.160000	29.564898
702	5.760000	30.232533
703	6.080000	31.295845
704	5.440000	30.555230
705	7.360000	29.759725
706	7.040000	29.625870
707	7.360000	29.601691
708	7.040000	29.117242
709	8.320000	28.086719
710	8.320000	27.772331
711	8.960000	28.355110
712	8.640000	30.400068
713	9.600000	30.854333
714	8.960000	29.876064
715	8.640000	29.795261
716	9.280000	28.850368
717	7.040000	28.102502
718	9.280000	29.883461
719	8.320000	29.391481
720	8.640000	28.789591
721	10.560000	29.412076
722	7.360000	30.081734
723	6.720000	28.823767
724	9.920000	31.899121
725	9.600000	30.539407
726	8.960000	29.872900
