No.	Z Error(mm)	3D Error
1	2.560000	3.837102
2	1.280000	1.810424
3	0.960000	1.643753
4	1.280000	1.962723
5	1.280000	5.699725
6	1.920000	3.024044
7	0.320000	1.385532
8	0.320000	2.118838
9	1.600000	3.036274
10	0.320000	3.657848
11	0.640000	3.040705
12	0.000000	2.535337
13	0.960000	3.069335
14	0.000000	2.229562
15	0.640000	1.814419
16	0.640000	2.137863
17	0.000000	0.283489
18	0.320000	1.038532
19	0.640000	3.614704
20	1.280000	2.975388
21	0.320000	0.809516
22	0.960000	2.309284
23	0.960000	1.645410
24	0.000000	2.734563
25	9.280000	13.878748
26	9.920000	13.061027
27	1.600000	2.076592
28	1.280000	2.114920
29	0.000000	1.416654
30	1.280000	4.155999
31	0.320000	2.084359
32	0.320000	2.148184
33	3.200000	5.185328
34	0.960000	1.867968
35	0.320000	4.526784
36	0.000000	1.795664
37	1.280000	3.596878
38	2.240000	5.103836
39	0.960000	3.347207
40	0.000000	2.902532
41	0.320000	1.417589
42	0.640000	1.646629
43	0.320000	1.670392
44	3.200000	6.337021
45	0.960000	4.912917
46	0.000000	2.173133
47	0.960000	3.489567
48	0.000000	0.376765
49	0.640000	1.981737
50	0.320000	2.700052
51	0.640000	3.939177
52	0.000000	0.808936
53	0.640000	1.377269
54	0.320000	7.101289
55	0.640000	1.649634
56	0.640000	2.823272
57	0.000000	2.840987
58	0.320000	1.735860
59	0.320000	1.596975
60	0.960000	3.137491
61	0.320000	3.418953
62	0.320000	3.272714
63	0.320000	2.917120
64	0.320000	1.690169
65	0.000000	0.982057
66	0.000000	1.159799
67	0.320000	0.930291
68	0.640000	0.986882
69	0.640000	2.068037
70	0.000000	3.009295
71	0.640000	2.288921
72	0.320000	4.691359
73	1.280000	2.754804
74	3.200000	6.842876
75	0.320000	3.678187
76	0.320000	2.572019
77	1.600000	5.397138
78	3.840000	8.821190
79	0.000000	1.331178
80	0.000000	1.813952
81	0.000000	0.721356
82	0.320000	1.246460
83	0.640000	2.545515
84	0.960000	1.945444
85	0.320000	2.328430
86	0.320000	2.624162
