No.	Z Error(mm)	3D Error
1	34.560000	45.048526
2	0.960000	2.099675
3	0.960000	2.521206
4	2.880000	4.788394
5	0.640000	0.988253
6	1.600000	3.871982
7	0.960000	2.247856
8	0.000000	0.914690
9	3.520000	5.798471
10	1.280000	2.653539
11	0.640000	1.173768
12	0.960000	1.815927
13	0.320000	2.526103
14	2.240000	4.003879
15	2.880000	3.360237
16	3.840000	11.209877
17	5.760000	7.860029
18	4.160000	6.084278
19	2.240000	2.948110
20	0.960000	1.275508
21	0.320000	1.487737
22	1.600000	2.743091
23	4.160000	5.080351
24	3.520000	4.198072
25	5.440000	7.074005
26	0.000000	0.507824
27	0.320000	1.067155
28	0.320000	0.874726
29	1.920000	3.356502
30	3.520000	5.767518
31	0.640000	1.469041
32	2.240000	3.746464
33	0.640000	2.475440
34	2.560000	4.165705
35	4.480000	6.268255
36	0.320000	0.775115
37	0.000000	0.442097
38	3.200000	4.021035
39	0.640000	1.455485
40	1.600000	2.084131
41	2.240000	3.387941
42	3.200000	4.248292
43	0.320000	0.841134
44	2.240000	3.089872
45	1.920000	2.771312
46	2.560000	3.563252
47	0.960000	3.518305
48	0.960000	2.231179
49	0.640000	1.506494
50	0.000000	1.275330
51	3.200000	4.191691
52	2.560000	4.456244
53	0.320000	0.574770
54	0.320000	0.692921
55	0.640000	1.214710
56	1.920000	2.579899
57	0.000000	1.268027
58	2.880000	4.277294
59	2.240000	3.839228
60	3.520000	6.610939
61	3.200000	3.864109
62	0.320000	1.033155
63	5.440000	6.902752
64	4.480000	5.977578
65	3.840000	5.203073
66	0.640000	1.156190
67	3.200000	5.478734
68	1.600000	3.174603
69	3.840000	6.228049
70	1.920000	2.796738
71	0.640000	2.094876
72	3.840000	4.533368
73	0.960000	1.676903
74	0.640000	2.772364
75	3.520000	4.390045
76	1.280000	2.183323
77	6.080000	7.775547
78	1.600000	3.277098
79	0.000000	0.206181
80	1.920000	2.831802
81	2.240000	2.712360
82	0.000000	0.345902
83	2.240000	2.526553
84	2.240000	2.739666
85	0.960000	3.142582
86	0.320000	7.431797
87	0.960000	1.724760
88	0.320000	1.608962
89	3.200000	6.610498
90	2.880000	7.836428
91	4.480000	5.690065
92	0.960000	1.261305
93	0.640000	0.816977
94	1.920000	2.261869
95	0.640000	1.816287
96	5.440000	6.465028
97	2.560000	3.185432
98	1.280000	1.920723
99	3.840000	5.302812
100	3.840000	5.711809
101	0.320000	0.550433
102	1.920000	3.270553
103	4.800000	6.529133
104	0.640000	2.434270
105	0.640000	0.718628
106	0.320000	3.032671
107	2.880000	6.340903
108	0.960000	2.538029
109	7.040000	13.658206
110	2.880000	4.608133
111	0.000000	1.656278
112	3.200000	4.457297
113	0.640000	1.648967
114	1.280000	1.828719
115	0.320000	0.375272
116	0.320000	0.688547
117	5.120000	6.907148
118	0.960000	1.436418
119	3.520000	5.486142
120	7.040000	9.516967
121	7.680000	9.551713
122	1.600000	2.416902
123	3.840000	5.809872
124	0.640000	0.907673
125	0.320000	0.610087
126	5.120000	5.991858
127	10.880000	12.254855
128	12.800000	14.497092
129	1.600000	2.187609
130	2.880000	3.758370
131	1.920000	2.936886
132	1.280000	1.748067
133	1.280000	3.953099
134	0.000000	0.093359
135	0.640000	2.223477
136	8.000000	11.029945
137	0.640000	1.959719
138	2.880000	3.374941
139	4.800000	6.188518
140	1.280000	1.498912
141	2.560000	3.007425
142	5.760000	6.740066
143	2.880000	5.149665
144	1.600000	3.040479
145	1.920000	2.834536
146	1.920000	5.113711
147	0.320000	2.085457
148	5.120000	7.953374
149	1.920000	3.081405
150	0.640000	1.535699
151	3.200000	3.950880
152	0.960000	1.814837
153	0.000000	1.338709
154	1.280000	1.887497
155	1.280000	1.410704
156	0.320000	1.643026
157	2.880000	3.631911
158	1.280000	1.910823
159	2.880000	3.599256
160	0.640000	1.504667
161	0.000000	0.396297
162	1.600000	2.260712
163	0.640000	1.709354
164	1.280000	1.642792
165	1.920000	3.279531
166	0.960000	2.112683
