No.	Z Error(mm)	3D Error
1	1.600000	6.284707
2	4.800000	15.583209
3	8.960000	12.884408
4	4.160000	8.090098
5	0.000000	0.669725
6	0.640000	0.910107
7	0.960000	2.247856
8	1.920000	2.691215
9	1.280000	3.377222
10	0.000000	2.254594
11	1.920000	3.531979
12	3.520000	5.381591
13	1.280000	3.446907
14	0.320000	1.714176
15	11.520000	14.754605
16	1.280000	2.864062
17	2.560000	3.295328
18	1.600000	2.799286
19	0.640000	4.486417
20	0.640000	2.117358
21	7.680000	9.597621
22	0.640000	0.922145
23	4.800000	5.908560
24	1.600000	2.414246
25	3.520000	3.939708
26	1.280000	1.772196
27	0.640000	0.726316
28	0.960000	10.835358
29	2.240000	4.309085
30	2.560000	4.576067
31	4.480000	12.055437
32	5.760000	14.111065
33	1.280000	2.561505
34	1.600000	3.292343
35	2.240000	2.836735
36	0.960000	1.257848
37	5.120000	6.989799
38	5.440000	6.964836
39	2.240000	3.860554
40	4.160000	7.936965
41	2.560000	5.837939
42	1.600000	2.261503
43	1.920000	2.789800
44	0.640000	1.008682
45	7.360000	9.793204
46	2.560000	3.563252
47	2.560000	4.314931
48	5.760000	14.862783
49	0.320000	0.978019
50	8.640000	11.861471
51	2.560000	4.129474
52	8.320000	14.331644
53	9.280000	13.529440
54	7.680000	14.141696
55	0.320000	0.853563
56	8.320000	12.950020
57	14.080000	22.075861
58	12.800000	20.951165
59	3.840000	6.475558
60	2.560000	4.712405
61	0.640000	0.883984
62	3.200000	4.177550
63	1.920000	2.366992
64	10.240000	16.585560
65	3.200000	4.633754
66	2.880000	4.845683
67	0.640000	1.332062
68	1.280000	2.171127
69	5.440000	11.181061
70	2.560000	4.041720
71	0.640000	2.094876
72	0.640000	12.221345
73	3.520000	5.872596
74	7.360000	10.720178
75	6.080000	8.610349
76	0.640000	9.495546
77	5.120000	5.946620
78	8.640000	10.766725
79	5.120000	7.624463
80	5.120000	7.829921
81	4.480000	5.559250
82	0.320000	0.706839
83	2.560000	3.187035
84	9.920000	12.361753
85	2.240000	3.557045
86	4.800000	7.307732
87	4.160000	6.841920
88	3.520000	6.369525
89	5.760000	8.828116
90	2.880000	4.371448
91	5.120000	6.777361
92	7.360000	10.971218
93	1.600000	2.429150
94	9.280000	14.036840
95	9.600000	19.928821
96	5.440000	6.465028
97	13.760000	19.334029
98	11.520000	23.381200
99	3.840000	5.302812
100	7.680000	15.006047
101	1.280000	1.573775
102	0.640000	1.591899
103	11.840000	18.437869
104	0.640000	2.434270
105	0.960000	1.212325
106	2.560000	5.699974
107	5.760000	9.381041
108	0.000000	1.608827
109	5.120000	8.835498
110	1.920000	3.896923
111	0.320000	2.012726
112	0.320000	1.034698
113	4.160000	5.085777
114	0.320000	0.573018
115	0.640000	1.025432
116	5.440000	8.169194
117	2.560000	6.617867
118	1.920000	3.571996
119	2.240000	3.298222
120	2.880000	4.166880
121	0.320000	1.554001
122	0.320000	0.788753
123	3.840000	5.809872
124	0.640000	0.907673
125	0.640000	1.057164
126	6.080000	8.634072
127	8.640000	12.078451
128	8.320000	9.220285
129	2.240000	2.721001
130	3.520000	4.066787
131	1.280000	1.814724
132	0.640000	1.808141
133	1.280000	2.274045
134	5.120000	9.645557
135	4.480000	8.291435
136	7.360000	9.168661
137	3.520000	4.628459
138	1.920000	3.934528
139	0.320000	2.796794
140	5.440000	7.138666
141	2.240000	2.604214
142	3.840000	4.443746
143	2.240000	2.435777
144	0.640000	1.389594
145	2.560000	3.913023
