No.	Z Error(mm)	3D Error
1	10.880000	22.380375
2	4.480000	10.326619
3	8.320000	12.727751
4	7.360000	13.076421
5	4.160000	8.636416
6	14.400000	21.053768
7	12.800000	18.527394
8	11.200000	19.160903
9	5.120000	7.261426
10	13.760000	20.390259
11	7.360000	9.909607
12	4.800000	7.354834
13	8.320000	13.994333
14	6.720000	12.599376
15	15.360000	19.002056
16	28.480000	36.336207
17	6.720000	10.780247
18	8.000000	12.932193
19	10.560000	15.389002
20	8.640000	14.490480
21	7.680000	12.853253
22	0.320000	1.586244
23	2.240000	2.869301
24	4.480000	5.797910
25	0.640000	3.063000
26	4.480000	5.685925
27	1.600000	3.409251
28	3.200000	4.884203
29	15.360000	18.815176
30	10.880000	12.543785
31	3.840000	7.214687
32	1.600000	3.073359
33	3.840000	7.342529
34	8.640000	12.340885
35	12.480000	15.795944
36	8.640000	11.261853
37	0.000000	2.838438
38	1.600000	2.252478
39	5.120000	7.047731
40	4.160000	6.731557
41	10.240000	16.405101
42	1.600000	2.800107
43	0.640000	3.813452
44	14.400000	18.892101
45	13.760000	18.654505
46	9.280000	12.449873
47	0.320000	0.408352
48	3.520000	6.504571
49	5.120000	9.709320
50	6.080000	10.841234
51	10.880000	16.243362
52	11.200000	17.181436
53	11.200000	15.592498
54	8.000000	14.236646
55	6.400000	13.014960
56	5.760000	8.243515
57	5.440000	7.654860
58	6.080000	8.291608
59	16.000000	25.243165
60	5.440000	14.695149
61	11.200000	14.784662
62	8.320000	11.318957
63	4.480000	5.373353
64	4.480000	5.745323
65	4.480000	7.596863
66	7.040000	10.382898
67	4.160000	8.074814
68	1.920000	4.401607
69	1.600000	4.447545
70	4.800000	7.319898
71	0.320000	3.154557
72	7.040000	11.872890
73	6.720000	11.349913
74	8.000000	11.922110
75	10.880000	15.938166
76	9.920000	14.874714
77	25.280000	31.328193
78	12.160000	15.282298
79	6.400000	10.141245
80	6.400000	10.538798
81	9.600000	14.979312
82	6.400000	8.025978
83	11.200000	15.602393
84	10.240000	12.882628
85	0.000000	1.379368
86	9.920000	14.917101
87	6.080000	10.200074
88	1.920000	3.796236
89	35.840000	42.561287
90	26.880000	32.816073
91	7.360000	14.301156
92	4.480000	7.517480
93	3.200000	6.802599
94	1.920000	2.338227
95	1.280000	2.184969
96	19.520000	25.141500
97	14.720000	19.423320
98	4.800000	7.739502
99	4.480000	7.092171
100	4.160000	6.409584
101	2.880000	4.143136
102	7.680000	9.443572
103	3.520000	3.845477
104	3.840000	7.744357
105	8.000000	12.691326
106	8.640000	13.176856
107	11.520000	17.587831
108	1.920000	6.648387
109	3.840000	7.498174
110	13.760000	21.744504
111	5.120000	9.252185
112	5.120000	7.673073
113	6.720000	10.149014
114	2.560000	3.934187
115	3.840000	5.838337
116	6.720000	9.769597
117	9.920000	13.833074
118	6.720000	10.400223
119	6.400000	9.967873
120	2.560000	5.484877
121	1.600000	5.270708
122	6.400000	10.441212
123	7.040000	10.836145
124	3.200000	4.919301
125	3.840000	5.167651
126	4.800000	7.411122
127	4.160000	6.013901
128	15.040000	20.252010
129	4.160000	4.501788
130	2.240000	2.492875
131	4.160000	5.386448
132	3.520000	4.255092
133	0.000000	1.115910
134	4.480000	7.887007
135	2.240000	5.969605
136	8.000000	9.665035
137	1.920000	2.598239
138	9.280000	12.195697
139	2.560000	3.857493
140	2.880000	3.658687
141	13.120000	16.574491
142	9.600000	11.502352
143	14.080000	18.162966
144	6.720000	12.076692
145	4.800000	8.207413
146	9.920000	13.290015
147	13.120000	19.020603
148	5.760000	10.170825
149	4.800000	6.832098
150	2.880000	8.027827
151	21.120000	26.898915
152	16.960000	22.664926
153	16.960000	21.085275
