No.	Z Error(mm)	3D Error
1	0.320000	25.121018
2	9.920000	20.517155
3	8.000000	20.266557
4	2.560000	5.069216
5	0.960000	1.894293
6	3.840000	6.012916
7	5.440000	8.074423
8	14.400000	23.356660
9	4.800000	5.575936
10	11.520000	16.410473
11	10.560000	19.398314
12	11.200000	18.308493
13	8.960000	17.635899
14	9.280000	17.204657
15	5.760000	8.515281
16	7.040000	8.677911
17	3.200000	4.250606
18	11.840000	18.854046
19	7.040000	9.834859
20	12.480000	21.247503
21	0.320000	14.803185
22	11.200000	17.119856
23	8.000000	10.162876
24	13.120000	19.603179
25	4.800000	13.832199
26	1.600000	12.195850
27	4.160000	5.935213
28	2.880000	5.716254
29	9.600000	12.340015
30	13.440000	15.820403
31	7.360000	15.977360
32	9.600000	20.438733
33	2.880000	10.573377
34	2.240000	10.412281
35	4.480000	5.855312
36	2.240000	3.937529
37	7.360000	12.232290
38	7.040000	12.136052
39	8.000000	15.011971
40	4.160000	8.142045
41	4.160000	7.434728
42	4.160000	5.550768
43	12.800000	21.295336
44	11.200000	16.020617
45	6.400000	8.380103
46	6.720000	11.807854
47	2.560000	3.865865
48	10.560000	17.249761
49	3.520000	5.170407
50	1.280000	1.751195
51	0.320000	0.886138
52	13.120000	18.794562
53	15.680000	22.369467
54	5.120000	9.574625
55	9.280000	14.722982
56	8.000000	12.016677
57	12.480000	16.238539
58	12.160000	15.843006
59	10.240000	19.685379
60	0.640000	1.515036
61	12.480000	16.958345
62	11.200000	16.838482
63	9.600000	12.776953
64	4.160000	11.504698
65	8.000000	13.633386
66	2.880000	4.801221
67	11.520000	19.366834
68	9.600000	15.172284
69	11.200000	17.981846
70	10.880000	18.163154
71	13.760000	20.404483
72	2.560000	3.424051
73	0.320000	0.821207
74	8.960000	14.041142
75	12.800000	20.415179
76	3.200000	4.233950
77	14.080000	18.340675
78	11.840000	15.272795
79	5.760000	9.280139
80	12.160000	21.449562
81	5.440000	9.469220
82	6.080000	7.359385
83	3.200000	4.009377
84	4.800000	5.822787
85	10.240000	15.350415
86	11.200000	18.593338
87	4.800000	9.077981
88	7.680000	16.899324
89	8.640000	12.355146
90	12.160000	16.308097
91	10.560000	14.846625
92	11.840000	17.216798
93	11.200000	17.326862
94	1.600000	1.789787
95	0.640000	1.407465
96	8.640000	13.466521
97	10.560000	15.403089
98	4.160000	4.957569
99	11.840000	17.051165
100	1.280000	3.119216
101	4.800000	6.106073
102	9.280000	17.807313
103	11.520000	19.968191
104	13.760000	24.765157
105	16.320000	25.965857
106	0.640000	1.064867
107	15.360000	22.432260
108	12.160000	21.079951
109	11.840000	22.797782
110	9.920000	16.337814
111	2.560000	3.284497
112	7.680000	18.019771
113	2.240000	4.243520
114	8.320000	13.697036
115	7.680000	12.888469
116	11.840000	16.561403
117	12.160000	16.727806
118	9.920000	15.501268
119	10.880000	16.644791
120	12.480000	16.709984
121	1.600000	2.354669
122	0.960000	1.173302
123	11.840000	19.135313
124	4.480000	4.973914
125	1.280000	1.600597
126	1.920000	10.631591
