No.	Z Error(mm)	3D Error
1	1.600000	113.183391
2	8.000000	112.993557
3	5.760000	104.691470
4	5.120000	98.856021
5	4.480000	93.782464
6	29.440000	118.018684
7	17.600000	111.905593
8	13.760000	110.223835
9	8.000000	100.950423
10	18.240000	113.153421
11	6.080000	100.109270
12	8.960000	98.516781
13	8.960000	109.030445
14	11.520000	114.349325
15	20.480000	111.668857
16	28.480000	127.542414
17	7.360000	110.007844
18	13.760000	114.574349
19	9.600000	104.618732
20	8.000000	106.780539
21	3.200000	98.940236
22	3.200000	99.519404
23	3.840000	98.469864
24	5.440000	103.074970
25	4.800000	100.854146
26	4.800000	96.652860
27	1.600000	88.569565
28	3.200000	89.407927
29	24.640000	112.877546
30	9.920000	104.116440
31	0.640000	94.986038
32	0.640000	96.380892
33	8.640000	94.978386
34	4.800000	95.314807
35	4.800000	105.626297
36	4.480000	102.451745
37	6.400000	98.108384
38	6.720000	99.611390
39	6.720000	99.329148
40	2.880000	93.324221
41	23.680000	107.944224
42	0.640000	89.936459
43	1.600000	92.063711
44	15.360000	115.814805
45	19.840000	119.165248
46	7.360000	101.424380
47	3.840000	98.225804
48	10.560000	99.456550
49	10.560000	98.884083
50	0.320000	103.867232
51	3.520000	103.220925
52	16.960000	115.324478
53	9.600000	110.640413
54	12.480000	105.123076
55	11.520000	104.528705
56	7.360000	101.974748
57	3.200000	101.621794
58	1.600000	101.859721
59	9.600000	113.523568
60	6.720000	96.266476
61	10.240000	103.484576
62	8.640000	105.063429
63	7.360000	89.715938
64	1.920000	85.713650
65	0.320000	101.566367
66	8.000000	105.009624
67	3.840000	94.597891
68	2.880000	93.569412
69	5.760000	102.655925
70	4.160000	102.361489
71	0.960000	97.890836
72	1.600000	100.124614
73	17.920000	102.090719
74	8.960000	95.299599
75	5.440000	103.721377
76	13.120000	107.800200
77	21.440000	127.588594
78	17.280000	118.806639
79	9.280000	96.307024
80	10.880000	98.794313
81	15.680000	108.025253
82	8.000000	99.293433
83	12.480000	105.481548
84	17.600000	98.120250
85	3.840000	102.395991
86	9.600000	107.504104
87	5.440000	95.655335
88	4.480000	96.629558
89	39.360000	124.712923
90	22.400000	116.153196
91	5.120000	100.459490
92	7.040000	92.160102
93	4.480000	92.108337
94	0.320000	93.853466
95	3.200000	96.897888
96	15.040000	109.209756
97	11.520000	106.180648
98	1.280000	92.300942
99	2.560000	90.273368
100	9.280000	96.386783
101	0.960000	93.518849
102	1.920000	101.134371
103	5.120000	99.596517
104	1.280000	99.916146
105	3.520000	105.408847
106	7.680000	109.505144
107	13.440000	114.381301
108	3.520000	100.257603
109	4.160000	94.710700
110	30.080000	119.509559
111	2.240000	101.809348
112	0.640000	97.986511
113	6.080000	104.967607
114	1.920000	85.207682
115	9.280000	94.389151
116	12.480000	103.169826
117	11.520000	97.943343
118	8.320000	99.183395
119	4.480000	102.527181
120	4.480000	95.140338
121	4.800000	94.019715
122	2.880000	107.332596
123	7.040000	110.083940
124	0.320000	96.691096
125	3.840000	88.801660
126	12.480000	104.619514
127	7.040000	108.360694
128	1.280000	104.801012
129	1.920000	99.342191
130	0.960000	98.368369
131	2.880000	96.679046
132	1.600000	97.733042
133	1.600000	99.770778
134	6.080000	101.948532
135	4.800000	101.473878
136	3.520000	79.500545
137	6.080000	93.549573
138	9.920000	102.060035
139	4.480000	100.964741
140	4.480000	98.755032
141	11.200000	105.697442
142	14.400000	98.790377
143	9.920000	104.218431
144	9.280000	98.469941
145	5.120000	100.034516
146	8.320000	106.811692
147	11.840000	105.445144
148	12.480000	108.228301
149	7.680000	104.968346
150	1.600000	96.359308
151	18.240000	111.568894
152	13.440000	109.642832
153	19.840000	110.377385
154	14.080000	104.171827
155	4.480000	100.782945
156	3.840000	103.402558
157	5.760000	101.323038
158	9.280000	99.940499
159	7.040000	95.120241
160	4.480000	93.836611
161	1.920000	103.602985
162	0.640000	100.432234
163	0.960000	99.470037
164	2.880000	100.912761
165	1.600000	102.349773
166	1.280000	101.121606
167	0.000000	102.375398
168	0.320000	101.385898
169	1.600000	100.296032
170	0.640000	103.139804
171	5.120000	100.662492
172	4.480000	100.128917
173	0.320000	99.882755
174	11.840000	101.284920
175	1.920000	100.139153
176	1.600000	101.251919
177	0.960000	98.911728
178	1.600000	102.354958
179	4.160000	103.515241
180	0.960000	101.314564
181	0.320000	98.484492
182	10.880000	100.992884
183	0.960000	102.224681
184	4.160000	97.616855
185	1.920000	100.056333
186	1.280000	99.750388
187	0.320000	99.759263
188	4.480000	97.502058
189	5.120000	98.766004
190	4.800000	97.934632
191	2.560000	97.432252
192	2.880000	96.650330
193	0.320000	103.708920
194	0.640000	96.610463
195	1.920000	97.982549
196	1.600000	97.557913
197	5.120000	97.283433
198	4.800000	97.163375
199	0.320000	97.674303
200	5.120000	101.568865
201	0.960000	97.822494
202	1.920000	95.792119
203	0.960000	97.854384
204	7.040000	103.531129
205	0.000000	96.460138
206	0.320000	98.130785
207	1.280000	97.034867
208	0.320000	94.834295
209	1.600000	98.013224
210	9.920000	105.711122
211	8.320000	96.694426
212	4.800000	98.081626
213	0.320000	97.303113
214	0.960000	97.823176
215	3.520000	97.212615
216	3.200000	97.645486
217	3.840000	99.121939
218	1.600000	96.899569
219	0.320000	97.965963
220	17.280000	109.783768
221	1.920000	95.156965
222	8.640000	97.264270
223	4.480000	96.800532
224	1.920000	96.409037
225	5.760000	100.465261
226	1.600000	98.579779
227	4.160000	100.322762
228	4.480000	97.126837
229	0.320000	96.900627
230	5.760000	96.266243
231	11.840000	99.656584
232	10.880000	100.495865
233	11.840000	100.335499
234	9.600000	98.192509
235	10.240000	102.313751
236	13.120000	102.252431
237	7.360000	95.954727
238	4.480000	96.868746
239	1.280000	96.520743
240	1.280000	96.794063
241	1.600000	96.403625
242	11.200000	98.771870
243	2.240000	100.089745
244	2.560000	99.919860
245	8.320000	101.637722
246	6.400000	100.547185
247	10.880000	98.564574
248	8.320000	98.610343
249	5.440000	100.719687
250	7.360000	99.510273
251	5.760000	98.598486
252	11.200000	99.868761
253	5.760000	100.472558
254	8.320000	98.757226
255	10.240000	103.007651
256	8.640000	102.563252
257	5.120000	100.489173
258	8.000000	98.184769
259	2.240000	100.242265
