No.	Z Error(mm)	3D Error
1	0.960000	29.871448
2	8.640000	15.099005
3	2.880000	6.808501
4	6.080000	13.025791
5	2.880000	8.501462
6	22.080000	26.847107
7	12.800000	17.615252
8	11.200000	17.399891
9	8.960000	11.515320
10	15.680000	21.233213
11	6.720000	11.493553
12	7.360000	10.440866
13	6.720000	11.222933
14	11.520000	16.438598
15	19.520000	25.102462
16	30.080000	41.109832
17	4.160000	11.045972
18	12.480000	19.193581
19	4.800000	12.881896
20	5.440000	12.276090
21	3.840000	10.397637
22	0.320000	3.694194
23	4.160000	5.149787
24	8.960000	11.811921
25	8.960000	11.831250
26	2.880000	4.310682
27	4.160000	6.071229
28	3.200000	4.512483
29	21.440000	26.873026
30	10.240000	13.114227
31	2.880000	4.030600
32	1.920000	3.392182
33	5.120000	7.213981
34	5.760000	8.344351
35	8.960000	13.095881
36	5.440000	8.814344
37	3.520000	5.576877
38	4.480000	6.963707
39	5.760000	8.544341
40	1.920000	6.972444
41	23.040000	28.355287
42	2.240000	4.173276
43	0.640000	4.422627
44	16.320000	21.615790
45	19.520000	25.596678
46	10.560000	15.537775
47	3.200000	7.251183
48	8.000000	11.594285
49	8.320000	12.710870
50	9.920000	13.246679
51	8.320000	10.789408
52	15.360000	21.113173
53	12.160000	16.760613
54	8.640000	14.143975
55	9.280000	12.950083
56	2.240000	5.359563
57	3.520000	6.364348
58	2.240000	5.843465
59	8.000000	24.074330
60	6.720000	12.070019
61	13.120000	17.334211
62	13.120000	17.916615
63	8.000000	10.336071
64	1.600000	1.939022
65	1.600000	6.598195
66	8.960000	15.358144
67	4.480000	7.969548
68	2.880000	3.529054
69	4.480000	6.788632
70	3.520000	6.021972
71	3.840000	6.615849
72	6.400000	9.321558
73	12.800000	17.530002
74	6.720000	9.888714
75	7.360000	10.355113
76	11.200000	15.313368
77	24.640000	32.228488
78	15.360000	20.548218
79	8.320000	12.949121
80	10.560000	16.084584
81	16.000000	21.004056
82	9.600000	12.957214
83	14.720000	19.251214
84	12.160000	14.453196
85	2.880000	4.052508
86	9.280000	14.899647
87	4.800000	9.741447
88	4.160000	7.473999
89	37.440000	43.568755
90	21.760000	27.836169
91	7.360000	11.207571
92	6.400000	8.562594
93	4.480000	7.275141
94	0.640000	1.117253
95	2.880000	4.094828
96	11.520000	17.370181
97	10.560000	14.965248
98	0.960000	7.155550
99	1.920000	3.962633
100	1.920000	2.731575
101	1.280000	1.708254
102	1.600000	2.389373
103	0.320000	2.034662
104	3.840000	8.026160
105	8.960000	13.555557
106	8.640000	14.122912
107	13.120000	17.551974
108	3.840000	5.987752
109	2.880000	4.729205
110	29.120000	36.897178
111	1.920000	5.828842
112	2.880000	4.194854
113	4.480000	9.891434
114	0.000000	2.304742
115	6.720000	9.623934
116	11.200000	16.716940
117	8.000000	11.509491
118	6.400000	9.800309
119	6.400000	11.060704
120	3.200000	6.298984
121	1.280000	3.477685
122	1.280000	7.350678
123	8.000000	12.839797
124	1.280000	2.763478
125	3.520000	4.938492
126	6.400000	8.740023
127	9.600000	14.242480
128	1.920000	3.655928
129	5.120000	5.571983
130	2.240000	2.365162
131	5.120000	6.098829
132	2.560000	3.741259
133	2.240000	3.418195
134	3.200000	5.817066
135	5.120000	7.951461
136	3.840000	8.953384
137	7.040000	9.338401
138	9.600000	12.366677
139	5.760000	7.402974
140	4.480000	5.499154
141	10.880000	14.895514
142	9.280000	11.096375
143	8.000000	11.693264
144	8.320000	13.201323
145	6.080000	9.897183
146	11.520000	17.327936
147	10.560000	17.461052
148	17.280000	23.235307
149	5.120000	7.259834
150	2.560000	8.058454
151	17.920000	24.171630
152	16.000000	21.901323
153	21.760000	25.538768
154	11.840000	14.579155
155	8.960000	13.851919
156	8.000000	12.586891
157	8.640000	12.605968
158	6.400000	9.742215
159	7.360000	9.753795
160	4.800000	6.349303
161	0.320000	2.741158
162	1.920000	3.695138
163	1.280000	3.325528
164	1.280000	3.030547
165	2.880000	5.080980
166	3.520000	4.972359
167	0.000000	2.428945
168	0.640000	4.519670
169	1.600000	2.475490
170	1.280000	3.947737
171	0.320000	3.510775
172	1.280000	4.176617
173	4.160000	5.959850
174	5.120000	7.064874
175	0.640000	1.874236
176	0.960000	3.349190
177	1.600000	2.923333
178	1.600000	2.262068
179	2.880000	4.490186
180	0.640000	1.640916
181	2.240000	3.241696
182	1.600000	2.457106
183	2.880000	4.992069
184	0.640000	1.152298
185	0.640000	2.587881
186	0.640000	0.965684
187	0.640000	2.014919
188	1.280000	1.473069
189	1.280000	1.579769
190	1.600000	1.786337
191	1.920000	3.859641
192	0.640000	1.640583
193	2.240000	3.992834
194	2.240000	2.777399
195	0.640000	1.281886
196	0.640000	1.277883
197	5.440000	7.496674
198	1.920000	2.879881
199	2.560000	3.561074
200	3.200000	4.960550
201	1.920000	2.657005
202	3.200000	4.430692
203	3.520000	4.349116
204	1.600000	2.179036
205	2.240000	2.770280
206	0.640000	0.972095
207	1.600000	2.563653
208	2.560000	3.853653
209	0.000000	0.715830
