No.	Z Error(mm)	3D Error
1234567891011121314151617181920212223242526272829303132333435363738394041424344454647484950515253545556575859606162636465666768697071727374757677787980818283848586878889909192939495969798991001011021031041051061071081091101111121131141151161171181191201211221231241251261271281291301311321331341351361371381391401411421431441451461471481491501511521531541551561571581591601611621631641651661671681691701711721731741751761771781791801811821831841851861871881891901911921931941951961971981992002012022032042052062072082092102112122132142152162172182192202212222232242252262272282292302312322332342352362372382392402412422432442452462472482492502512522532542552562572582592602612622632642652662672682692702712722732742752762772782792802812822832842852862872882892902912922932942952962972982993003013023033043053063073083093103113123133143153163173183193203213223233243253263273283293303313323333343353363373383393403413423433443453463473483493503513523533543553563573583593603613623633643653663673683693703713723733743753763773783793803813823833843853863873883893903913923933943953963973983994004014024034044054064074084094104114124134144154164174184194204214224234244254264274284294304314324334344354364374384394404414424434444454464474484494504514524534544554564574584594604614624634644654664674684694704714724734744754764774784794804814824834844854864874884894904914924934944954964974984995005015025035045055065075085095105115125135145155165175185195205215225235245255265275285295305315325335345355365375385395405415425435445455465475485495505515525535545555565575585595605615625635645655665675685695705715725735745755765775785795805815825835845855865875885895905915925935945955965975985996006016026036046056066076086096106116126136146156166176186196206216226236246256266276286296306316326336346356366376386396406416426436446456466476486496506516526536546556566576586596606616626636646656666676686696706716726736746756766776786796806816826836846856866876886896906916926936946956966976986997007017027037047057067077087097107117127137147157167177187197207217227237247257267277287297307317327337347357367377387397407417427437447457467477487497507517527537547557567577587597607617627637647657667677687697707717727737747757767777787797807817827837847857867877887897907917927937947957967977987998008018028038048058068078088098108118128138148158168178188198208218228238248258268278288298308318328338348358368378388398408418428438448458468478488498508518528538548558568578588598608618628638648658668678688698708718728738748758768778788798808818828838848858868878888898908918928938948958968978988999009019029039049059069079089099109119129139149159169179189199209219229239249259269279289299309319329339349359369379389399409419429439449459469479489499509519529539549559569579589599609619629639649659669679689699709719729739749759769779789799809819829839849859869879889899909919929939949959969979989991000100110021003100410051006100710081009101010111012101310141015101610171018101910201021102210231024102510261027102810291030103110321033103410351036103710381039104010411042104310441045104610471048104910501051105210531054105510561057105810591060148	4.480000	7.572705
149	1.280000	5.335682
150	2.240000	5.854249
151	0.960000	1.552900
152	0.640000	3.130229
153	0.960000	8.823652
154	6.400000	12.445826
155	1.920000	8.533159
156	0.320000	5.872662
157	4.160000	7.821074
158	6.400000	12.286104
159	7.040000	10.727100
160	0.960000	3.507378
161	4.480000	7.479455
162	5.440000	10.836752
163	4.800000	8.888014
164	4.160000	6.528700
165	4.160000	8.130152
166	1.600000	11.854249
167	2.560000	8.492736
168	2.560000	6.958519
169	3.520000	7.073229
170	2.880000	6.534867
171	4.160000	7.152042
172	2.560000	6.529063
173	2.240000	7.026121
174	2.240000	5.206330
175	2.560000	5.038476
176	0.640000	7.244701
177	0.640000	3.931792
178	0.320000	0.404464
179	1.280000	3.328972
180	1.600000	4.947663
181	3.840000	9.371508
182	0.960000	6.000050
183	1.920000	6.089511
184	3.840000	7.411186
185	1.280000	5.579355
186	2.880000	6.480043
187	0.960000	5.409963
188	2.240000	3.991756
189	4.480000	8.298647
190	2.240000	6.747957
191	1.920000	4.730501
192	2.240000	6.286792
193	1.920000	5.777725
194	1.600000	4.255527
195	1.280000	5.143265
196	1.920000	4.734434
197	1.280000	6.939346
198	0.320000	4.582567
199	2.560000	6.597280
200	3.520000	9.786363
201	2.560000	6.789306
202	4.480000	8.580702
203	0.320000	5.916253
204	4.160000	7.783279
205	0.960000	5.702701
206	1.600000	8.849658
