No.	Z Error(mm)	3D Error
1	1.600000	5.576372
2	0.320000	1.562281
3	0.960000	1.726986
4	0.960000	1.997376
5	1.600000	4.568363
6	1.600000	2.698323
7	0.960000	1.806060
8	0.960000	2.309486
9	0.320000	1.705502
10	1.920000	3.569053
11	4.480000	8.440947
12	3.520000	5.546200
13	1.280000	2.029315
14	0.640000	1.356438
15	0.000000	0.817723
16	0.320000	0.939674
17	0.320000	1.175337
18	0.960000	1.965667
19	0.960000	1.613648
20	2.560000	4.375631
21	4.160000	7.447353
22	1.280000	2.367649
23	0.000000	1.684514
24	0.320000	0.868333
25	1.600000	4.709284
26	0.640000	2.585702
27	1.280000	2.299113
28	2.240000	3.097835
29	3.840000	6.043589
30	4.160000	6.316981
31	1.920000	4.023591
32	1.280000	2.129731
33	0.000000	1.936644
34	0.640000	1.278637
35	1.280000	2.023565
36	0.320000	2.113296
37	1.920000	3.207542
38	1.920000	3.266202
39	2.880000	4.499995
40	1.600000	2.337680
41	0.000000	1.534022
42	0.000000	1.120736
43	0.640000	1.778850
44	0.960000	2.353738
45	0.320000	2.308084
46	1.600000	3.184813
47	1.600000	3.269938
48	0.640000	2.930263
49	0.640000	4.600778
50	0.320000	0.482881
51	0.320000	3.359119
52	1.600000	3.402337
53	0.000000	1.454755
54	0.960000	2.514491
55	1.600000	4.041556
56	1.280000	4.889769
57	0.320000	0.747512
58	0.960000	2.164358
59	1.920000	3.911469
60	0.000000	0.592663
61	1.600000	4.025621
62	0.000000	2.251118
63	2.240000	3.674833
64	2.560000	5.909388
65	1.280000	4.404023
66	2.240000	4.781792
67	0.320000	0.765629
68	0.640000	1.689274
69	0.320000	1.121125
70	1.600000	4.027134
71	0.320000	2.426451
72	2.560000	3.659975
73	1.920000	4.232063
74	1.920000	3.982758
75	1.600000	3.292483
76	1.600000	3.910651
77	0.640000	1.822426
78	2.240000	4.494169
79	0.000000	1.186541
80	1.920000	3.428703
81	1.920000	2.769879
82	1.280000	3.036460
83	0.640000	2.046818
84	0.640000	1.781444
85	0.320000	0.889616
86	0.640000	1.277308
87	1.600000	2.898352
88	3.520000	5.417519
89	2.880000	4.890041
90	2.560000	4.532785
91	1.280000	3.574379
92	1.280000	2.712715
93	0.640000	1.220325
94	2.560000	3.856780
95	1.600000	2.445410
96	1.280000	3.091530
97	3.200000	5.628766
98	0.640000	1.285604
99	0.960000	1.855488
100	1.920000	3.804740
101	0.640000	1.297150
102	0.960000	3.687599
103	0.640000	1.746439
104	0.000000	0.277055
105	0.000000	1.140999
106	0.960000	2.662337
107	0.320000	1.647909
108	0.320000	1.159545
109	0.000000	0.504841
110	3.840000	7.240143
111	2.880000	4.772611
112	2.560000	4.150353
113	3.200000	4.788437
114	1.280000	3.595209
115	1.280000	4.055929
116	0.960000	3.099715
117	1.920000	2.908365
118	1.600000	3.576129
119	1.920000	3.073813
120	1.600000	3.023411
121	0.960000	1.775300
122	0.320000	1.436288
123	1.600000	3.353587
124	1.920000	3.338908
125	1.600000	4.436150
126	3.200000	6.541242
127	0.320000	3.291031
128	3.840000	8.265899
129	0.320000	1.050939
130	0.320000	1.269538
131	0.000000	0.225910
132	1.280000	2.707686
133	1.280000	1.947415
134	0.960000	2.074406
135	0.320000	1.597513
136	4.160000	8.765248
137	0.320000	1.617390
138	0.640000	1.179173
139	0.320000	0.563966
140	0.640000	1.177072
141	1.280000	2.604805
142	0.640000	1.259543
143	1.280000	3.420241
144	1.280000	4.112080
145	0.960000	2.279326
146	0.640000	1.214984
147	0.320000	1.006414
148	0.000000	3.787697
149	0.640000	1.853216
150	0.000000	1.085901
151	0.320000	0.946904
152	0.960000	2.140124
153	0.960000	2.457266
154	2.240000	4.649952
155	0.640000	1.110577
156	0.960000	1.984099
157	0.000000	1.007894
158	0.960000	2.689319
159	1.600000	3.466433
160	2.560000	3.916651
161	0.640000	1.219830
162	0.640000	1.591967
163	0.960000	2.099579
164	0.960000	2.120981
165	1.280000	2.803974
166	0.960000	1.768130
167	0.960000	2.439051
168	0.640000	1.691063
169	1.280000	2.887285
170	2.560000	4.215236
171	1.600000	3.435027
172	1.920000	4.611882
173	1.280000	2.717577
174	0.320000	7.725526
175	0.000000	0.154144
176	1.280000	2.298848
177	1.600000	3.372038
178	1.280000	3.046278
179	1.920000	3.503849
180	0.000000	1.181926
181	1.280000	2.748114
182	1.920000	3.820812
183	0.640000	0.983841
184	1.600000	4.115480
185	0.640000	1.349505
186	0.640000	2.408436
187	0.960000	1.644575
188	0.640000	1.079042
189	1.280000	2.583680
190	0.960000	2.016063
191	0.640000	1.424978
192	0.960000	2.382221
193	1.280000	2.769556
194	1.280000	3.422837
195	2.240000	3.731193
196	0.960000	2.391040
197	1.280000	3.865227
198	0.960000	2.710487
199	1.280000	2.640627
200	0.000000	2.576304
201	0.320000	1.231961
202	0.640000	2.075161
203	0.960000	3.013141
204	1.600000	3.797717
205	0.640000	1.031290
206	0.320000	1.937859
207	0.640000	2.151721
208	1.600000	3.707407
209	0.640000	1.520803
210	1.920000	3.982063
211	0.320000	2.073836
212	0.960000	3.472848
213	0.640000	1.810689
214	1.280000	3.151220
215	0.320000	0.611940
216	0.000000	1.482013
217	0.960000	2.246848
218	1.280000	2.575224
219	0.960000	2.485952
220	1.920000	3.061101
221	3.520000	7.812885
222	1.280000	3.699188
223	1.600000	3.754821
224	0.960000	2.280931
225	1.280000	2.903938
226	0.960000	2.026194
227	0.000000	0.909543
228	0.960000	1.958097
229	0.640000	1.054128
230	0.640000	1.783224
231	0.960000	3.447846
232	2.560000	5.055812
233	0.960000	3.265452
234	1.920000	3.090231
235	0.640000	3.608376
236	0.000000	1.619312
237	0.960000	2.606018
238	0.000000	1.120736
239	1.920000	2.914247
240	0.640000	1.098721
241	1.600000	2.659479
242	1.280000	3.893806
243	0.320000	0.772362
244	0.000000	0.792930
245	0.960000	2.253379
246	0.320000	1.959936
247	0.320000	2.734790
248	0.960000	2.309098
249	0.960000	1.629679
250	0.960000	1.808788
251	0.960000	1.846864
252	1.280000	1.918127
253	1.280000	2.787420
254	0.960000	3.642887
255	0.640000	3.406311
256	0.640000	2.851363
257	1.280000	2.777264
258	3.520000	8.130491
259	2.880000	5.202638
260	3.200000	5.462785
261	2.880000	5.266415
262	0.960000	3.253041
263	4.160000	7.565632
264	3.200000	6.461970
265	3.200000	5.776400
266	2.560000	6.612949
267	2.560000	5.075044
268	3.200000	6.340861
269	0.320000	0.847375
270	4.160000	8.320896
271	3.520000	6.653310
272	0.320000	3.395877
273	0.320000	2.459794
274	0.960000	1.831402
275	1.600000	2.408635
276	1.920000	3.829649
277	0.640000	0.911554
278	0.640000	2.203751
279	0.640000	2.557172
280	0.640000	1.240998
281	0.640000	2.015754
282	1.600000	2.767378
283	0.640000	2.090701
284	0.960000	2.246331
285	0.320000	1.258079
286	1.280000	2.453161
287	1.280000	2.458147
288	1.280000	2.301388
289	0.640000	1.160942
290	0.000000	2.152603
291	2.240000	4.615091
292	1.600000	3.710658
293	0.640000	1.154783
294	0.640000	2.547446
295	0.640000	1.140143
296	1.600000	3.096866
297	0.320000	1.038733
298	0.960000	1.863098
299	0.960000	1.531619
300	0.320000	0.920811
301	0.960000	4.536527
302	0.320000	3.217983
303	0.000000	4.087695
304	1.600000	3.205169
305	1.920000	3.894963
306	2.240000	4.639233
307	0.000000	2.132741
308	1.280000	2.173955
309	1.280000	2.225082
310	2.240000	4.969151
311	1.920000	4.377891
312	1.600000	4.659107
313	2.560000	4.726395
314	0.640000	3.159327
315	0.960000	2.151855
316	1.920000	3.805408
317	2.880000	5.338263
318	1.600000	2.919582
319	3.200000	6.678603
320	0.960000	3.880273
321	1.280000	3.140748
322	0.320000	1.684532
323	2.560000	5.324119
324	0.320000	2.166406
325	0.320000	0.593934
326	1.920000	4.473419
327	0.640000	1.979903
328	1.920000	4.444920
329	0.640000	1.276408
330	0.960000	1.568984
331	0.640000	1.227563
332	0.960000	2.377754
333	0.320000	0.615236
334	0.960000	2.414715
335	0.320000	2.550095
336	2.560000	6.750546
337	0.960000	2.727373
338	0.960000	2.256621
339	0.320000	1.471267
340	0.000000	0.883282
341	1.280000	2.445398
342	2.560000	5.352663
343	0.960000	2.713234
344	2.240000	6.023106
345	0.960000	2.546691
346	0.960000	2.362458
347	0.960000	2.912949
348	0.320000	1.614344
349	0.960000	2.707876
350	0.960000	2.088071
351	0.000000	0.604582
352	1.600000	3.052299
353	0.640000	1.075278
354	0.320000	1.623547
355	0.000000	1.540973
356	0.640000	1.354596
357	1.600000	4.806501
358	0.640000	2.165901
359	0.960000	2.696229
360	1.600000	3.845389
361	1.600000	4.704271
