No.	Z Error(mm)	3D Error
1	0.640000	2.076277
2	0.000000	4.675753
3	0.320000	3.891410
4	0.000000	5.999791
5	0.320000	4.834460
6	0.000000	2.299806
7	0.000000	4.420735
8	0.320000	2.968388
9	0.320000	5.613182
10	0.960000	5.178324
11	0.320000	5.325148
12	0.320000	5.548900
13	0.320000	2.858136
14	0.320000	3.689987
15	0.000000	2.067646
16	0.000000	5.062795
17	0.640000	3.912711
18	0.640000	6.127812
19	0.000000	4.031250
20	0.000000	4.268544
21	0.000000	5.966750
22	0.320000	6.076571
23	0.320000	4.563145
24	0.960000	5.454836
25	0.320000	5.931710
26	0.320000	5.498314
27	0.000000	4.547301
28	0.000000	4.475045
29	0.320000	7.662614
30	0.320000	5.914231
31	0.320000	4.629616
32	0.640000	7.579348
33	0.320000	3.326141
34	0.640000	3.583595
35	0.960000	5.226482
36	0.320000	5.597896
37	0.000000	5.861378
38	0.000000	6.024360
39	0.640000	5.101251
40	0.320000	5.052155
41	0.320000	4.446150
42	0.640000	3.294524
43	0.320000	4.067175
44	0.320000	4.977745
45	0.000000	6.008823
46	0.320000	5.395886
47	0.320000	5.357670
48	0.320000	4.469094
49	0.640000	3.616078
50	0.320000	4.047722
51	0.320000	5.268594
52	0.320000	4.788389
53	0.320000	3.675182
54	0.320000	3.218763
55	0.320000	4.154351
56	0.320000	2.792326
57	0.640000	4.817492
58	1.280000	6.158282
59	0.960000	5.792221
60	0.320000	3.366194
61	0.320000	2.690050
62	0.320000	2.283107
63	1.280000	5.149029
64	0.960000	6.186509
65	0.960000	6.375103
66	0.640000	6.415171
67	0.320000	4.667225
68	0.640000	5.035322
69	0.960000	5.109038
70	0.000000	5.575886
71	0.320000	3.216563
72	0.640000	3.391610
73	0.000000	1.395343
74	0.640000	2.063900
75	0.000000	2.580740
76	0.320000	1.751247
77	0.320000	3.988791
78	0.320000	5.976058
79	0.320000	5.670069
80	0.640000	3.384524
81	0.960000	3.732477
82	0.320000	4.976750
83	0.320000	2.205692
84	0.320000	4.801216
85	0.320000	5.212394
86	0.960000	6.983140
87	0.640000	4.536472
88	0.000000	5.451853
89	0.320000	5.498834
90	0.320000	4.374336
91	0.000000	3.841627
92	0.320000	1.858841
93	0.320000	2.033454
94	0.000000	2.815049
95	0.640000	3.958099
96	0.000000	5.985047
97	1.280000	6.729651
98	0.320000	5.593207
99	0.320000	5.162921
100	0.320000	6.453060
101	0.000000	4.741853
102	0.320000	5.790874
103	0.640000	6.551600
104	0.000000	4.740710
105	0.960000	5.923244
106	0.320000	4.698507
107	0.320000	4.641388
108	0.640000	4.677189
109	0.640000	5.504230
110	0.320000	4.609502
111	0.320000	6.207686
112	0.320000	3.352244
113	0.640000	6.400979
114	0.960000	4.866201
115	0.000000	4.005151
116	0.320000	7.164323
117	0.320000	5.113761
118	0.320000	2.128661
119	0.000000	4.469493
120	1.920000	7.410394
121	0.320000	5.992740
122	0.960000	8.303073
123	1.280000	8.375482
124	0.960000	5.757473
125	0.320000	1.249226
126	0.320000	5.286730
127	0.640000	6.486857
128	0.960000	6.709344
129	0.640000	7.039476
130	0.000000	7.118038
131	0.640000	7.329379
132	1.600000	6.574844
133	1.600000	6.764007
134	0.960000	8.206818
135	0.960000	8.101749
136	0.320000	5.341616
137	0.960000	3.706115
138	0.640000	6.622926
139	0.640000	6.994789
140	0.640000	7.904540
141	1.280000	7.639770
142	2.240000	7.326200
143	1.920000	7.536827
144	1.600000	7.888941
145	0.000000	5.451853
146	0.640000	6.649718
147	1.920000	7.941116
148	0.960000	5.712113
149	0.960000	6.195256
150	1.600000	7.967333
151	1.280000	6.914549
152	0.640000	5.245996
153	0.960000	7.371757
154	0.960000	8.192100
155	0.000000	5.234561
156	0.320000	6.380569
157	0.320000	4.263449
158	0.320000	2.696340
159	0.320000	5.265594
160	0.320000	6.598628
161	0.960000	7.839976
162	0.320000	8.149728
163	0.320000	6.920452
164	0.000000	7.190866
165	0.640000	7.470337
166	0.320000	7.998945
167	0.960000	8.780487
168	0.000000	6.874071
169	0.640000	7.558419
170	0.640000	8.474257
171	0.000000	7.648376
172	0.320000	6.474433
173	0.320000	6.859802
174	0.000000	6.259092
175	0.000000	6.158827
176	0.320000	7.363363
177	0.000000	5.819563
178	0.640000	7.877151
179	0.640000	7.579348
180	0.000000	6.222322
181	0.320000	6.156565
182	0.320000	6.921847
183	0.640000	7.896991
184	0.320000	7.196089
185	0.000000	5.262559
186	0.320000	6.869761
187	0.320000	7.552924
188	0.320000	6.650158
189	0.000000	6.263315
190	0.640000	7.900726
191	0.320000	7.687827
192	0.320000	8.352204
193	0.960000	8.693870
194	0.640000	7.788006
195	1.600000	9.001943
196	0.640000	8.353077
197	0.640000	8.375499
198	0.000000	6.630062
199	0.640000	7.530011
200	0.320000	6.777481
201	0.320000	8.389743
202	0.320000	8.334668
203	0.640000	6.448639
204	0.320000	6.982527
205	0.960000	7.944555
206	0.000000	7.871610
207	0.000000	7.791607
208	0.640000	8.341100
209	0.000000	6.872452
210	0.320000	7.186037
211	0.640000	8.024846
212	0.960000	9.000989
213	0.640000	7.708505
214	0.640000	7.887549
215	1.280000	8.873619
216	1.280000	9.006342
217	0.960000	8.399635
218	0.960000	8.889477
219	0.960000	8.443867
220	0.320000	6.244325
221	0.640000	6.061574
222	0.320000	5.810644
223	1.280000	7.659019
224	0.000000	6.702691
225	0.000000	5.615367
226	0.320000	6.228635
227	0.960000	7.518748
228	0.320000	4.848989
229	0.320000	6.183418
230	0.000000	6.809552
231	0.320000	5.749546
232	0.960000	7.379219
233	0.320000	6.314895
234	0.960000	7.326077
235	0.960000	7.578326
236	0.320000	6.165147
237	0.000000	5.973770
238	0.320000	5.229185
239	0.000000	5.753961
240	0.960000	7.736352
241	0.640000	6.972471
242	1.920000	8.705376
243	0.320000	6.803326
244	1.280000	8.425636
245	0.000000	7.153175
246	0.000000	5.741505
247	0.320000	6.899192
248	0.320000	6.453344
249	0.640000	7.602240
250	0.640000	6.587976
251	0.000000	6.369555
252	0.960000	7.759141
253	0.640000	7.361688
254	0.000000	5.726599
255	0.640000	7.237384
256	0.960000	7.329240
257	0.000000	6.777761
258	0.320000	5.302894
259	0.320000	5.696110
260	0.640000	7.388391
261	0.320000	6.958082
262	0.000000	6.639772
263	0.640000	6.944942
264	0.320000	6.159693
265	0.000000	5.907028
266	0.640000	7.335580
267	0.640000	6.816692
268	0.960000	7.065937
269	0.960000	7.726824
270	0.640000	7.509985
271	0.640000	7.723995
272	0.320000	6.593604
273	0.640000	4.126734
274	0.000000	5.976949
275	0.320000	6.757559
276	0.960000	7.418478
277	0.640000	6.864866
278	0.640000	6.265245
279	0.640000	7.135814
280	0.000000	6.870930
281	0.000000	6.352284
282	0.320000	6.904594
283	1.280000	7.934985
284	0.320000	7.069514
285	0.960000	7.149628
286	0.640000	6.878618
287	0.640000	7.058048
288	0.000000	6.329147
289	1.600000	8.229469
290	0.640000	6.919409
291	0.320000	6.675250
292	0.640000	4.376806
293	0.000000	6.618917
294	1.280000	7.141772
295	0.640000	6.563440
296	1.280000	7.648044
297	0.960000	8.388730
298	1.280000	8.264216
299	0.000000	6.466995
300	1.920000	8.105134
301	0.640000	9.028250
302	0.640000	9.388648
303	0.960000	8.972393
304	1.280000	10.155232
305	0.960000	9.399702
306	0.640000	9.031459
307	0.640000	9.000369
308	0.320000	8.427501
309	0.640000	8.780177
310	0.320000	7.325913
311	0.000000	8.916987
312	0.000000	8.589941
313	0.640000	8.441860
314	0.320000	7.701122
315	0.320000	8.148775
316	0.640000	8.876681
317	0.320000	8.736849
318	0.320000	8.476204
319	0.960000	9.231798
320	1.280000	9.267427
321	0.640000	6.789109
322	0.000000	7.441302
323	0.000000	8.399598
324	0.640000	9.025375
325	1.600000	8.640643
326	0.320000	3.353734
327	0.640000	4.507073
328	0.640000	5.778533
329	1.920000	7.912471
330	0.640000	5.767486
331	0.640000	6.169046
332	1.600000	7.269496
333	0.320000	5.127164
334	0.320000	6.555568
335	0.960000	6.515812
336	1.600000	6.782652
337	0.640000	5.204732
338	0.640000	5.532409
339	1.280000	6.833592
340	0.640000	5.716370
341	0.960000	6.324285
342	1.280000	7.285301
343	0.000000	4.429026
344	0.000000	4.921817
345	0.320000	5.707672
346	0.000000	4.179613
347	0.640000	4.366248
348	1.280000	6.953789
349	1.280000	6.885991
350	0.640000	5.333782
351	0.320000	5.014687
352	0.000000	4.290393
353	0.320000	4.065765
354	0.000000	5.114287
355	0.320000	4.767239
356	0.000000	3.329259
357	0.000000	4.901634
358	0.000000	3.179918
359	0.000000	4.216841
360	0.000000	3.370616
361	0.320000	2.611523
362	0.320000	3.655359
363	0.320000	3.939976
364	0.320000	3.136402
365	0.000000	3.485832
366	0.000000	4.459821
367	0.320000	2.542481
368	0.640000	3.205626
369	0.320000	5.297332
370	1.280000	6.829148
371	0.000000	2.798011
372	0.000000	3.270559
373	0.000000	3.611088
374	0.000000	3.913788
375	0.000000	4.186146
376	0.000000	3.014451
377	0.960000	5.758237
378	0.000000	4.128614
379	0.000000	4.546830
380	0.320000	3.082148
381	0.320000	3.732809
382	0.320000	4.259220
383	0.320000	3.479353
384	0.320000	4.341917
385	0.640000	4.032964
386	0.960000	3.227124
387	0.000000	4.719845
388	0.640000	3.550807
389	0.320000	4.076479
390	0.000000	3.559507
391	0.000000	3.815238
392	0.320000	3.573261
393	0.320000	4.363175
394	0.000000	4.590617
395	0.000000	3.991561
396	0.320000	4.804496
397	0.320000	5.087526
398	0.320000	2.781019
399	0.320000	3.800749
400	0.000000	4.448377
401	0.000000	4.514488
402	0.320000	4.904121
403	0.000000	3.116840
