No.	Z Error(mm)	3D Error
1	0.320000	1.034154
2	0.640000	2.934090
3	1.280000	2.630172
4	2.880000	5.535571
5	1.600000	3.947314
6	6.080000	7.035988
7	0.320000	5.291353
8	0.320000	0.970631
9	2.880000	5.895645
10	1.280000	2.834292
11	2.880000	4.211188
12	0.640000	3.864035
13	0.640000	1.359679
14	0.640000	2.362961
15	4.160000	6.762243
16	2.240000	7.241074
17	5.440000	5.923302
18	2.880000	5.106932
19	0.320000	4.022409
20	3.840000	5.945093
21	1.280000	7.639532
22	0.000000	3.472483
23	1.600000	6.161041
24	4.160000	7.043578
25	7.040000	9.332065
26	0.640000	2.058002
27	1.600000	5.682220
28	2.240000	5.305357
29	3.840000	6.281453
30	1.280000	3.300899
31	0.320000	2.698592
32	0.960000	5.453895
33	0.960000	2.237996
34	0.960000	2.451199
35	0.960000	3.352199
36	0.960000	3.171030
37	2.560000	4.876150
38	2.880000	5.036338
39	2.560000	4.313201
40	2.560000	4.459959
41	2.240000	3.760789
42	2.240000	2.960632
43	1.600000	3.720984
44	1.600000	4.823415
45	0.000000	3.406278
46	2.240000	4.642136
47	3.200000	4.905071
48	4.160000	5.820159
49	1.600000	3.134271
50	0.320000	0.946116
51	1.920000	3.436673
52	0.960000	3.737850
53	2.560000	3.543847
54	2.880000	3.995347
55	0.000000	3.089894
56	1.280000	2.037584
57	0.320000	3.142933
58	1.600000	4.363569
59	1.920000	4.598186
60	0.000000	1.415635
61	0.640000	1.540842
62	0.640000	1.283062
63	1.920000	3.097443
64	2.880000	4.596057
65	3.520000	5.441103
66	2.560000	5.087411
67	2.560000	3.976898
68	0.640000	4.013128
69	1.600000	4.030167
70	0.640000	4.046482
71	2.240000	3.442993
72	0.320000	2.801579
73	0.320000	1.032689
74	0.000000	1.926607
75	0.960000	3.952998
76	0.640000	3.646504
77	0.960000	2.629609
78	0.960000	4.175477
79	2.880000	4.476429
80	0.640000	1.536265
81	5.120000	7.819964
82	4.160000	8.416912
83	1.280000	2.461935
84	1.600000	5.357558
85	0.640000	2.711803
86	0.640000	4.840923
87	1.600000	3.260711
88	3.200000	5.012182
89	1.600000	3.655047
90	0.640000	2.550244
91	0.000000	3.804714
92	0.320000	0.610652
93	0.320000	0.648035
94	1.920000	4.950460
95	5.120000	7.988971
96	3.200000	7.082989
97	3.840000	8.056578
98	3.200000	5.794055
99	5.120000	7.713601
100	1.600000	4.879905
101	0.320000	2.845373
102	4.800000	8.400023
103	4.480000	8.735889
104	1.920000	3.412156
105	1.280000	4.352719
106	6.080000	8.986685
107	1.920000	4.029054
108	2.240000	4.568913
109	2.560000	5.217117
110	0.320000	4.904000
111	4.480000	7.530575
112	1.600000	6.002480
113	2.240000	7.250928
114	1.920000	4.058684
115	1.600000	3.036264
116	3.840000	8.035151
117	6.720000	8.836691
118	0.000000	2.005572
119	0.960000	3.293662
120	4.480000	8.852436
121	3.520000	7.180085
122	2.880000	7.095624
123	4.160000	8.427421
124	2.560000	4.731798
125	0.000000	0.369223
126	6.720000	7.492086
127	2.560000	4.652593
128	2.880000	4.994695
129	1.920000	5.288143
130	1.920000	5.282624
131	1.280000	8.039623
132	0.320000	4.788689
133	2.560000	5.593049
134	4.800000	8.430763
135	5.760000	9.214653
136	2.880000	4.726356
137	0.960000	2.492129
138	0.640000	3.179888
139	0.000000	3.430958
140	9.280000	12.307714
141	6.400000	10.114004
142	5.120000	8.224806
143	4.480000	7.270277
144	4.800000	8.569630
145	2.240000	6.244335
146	0.320000	3.657972
147	0.960000	4.980598
148	1.920000	3.746759
149	4.800000	6.016222
150	3.520000	7.130768
151	5.120000	8.221333
152	4.800000	7.458382
153	0.320000	6.143498
154	3.520000	7.663200
155	0.640000	3.375808
156	0.320000	4.839055
157	1.920000	4.490570
158	0.960000	2.538561
159	1.920000	4.446164
160	2.560000	5.832866
161	4.800000	7.488285
162	2.560000	6.777227
163	2.560000	5.722573
164	4.160000	6.658003
165	2.560000	6.334529
166	0.960000	6.159060
167	2.240000	7.386694
168	1.280000	5.290578
169	1.600000	5.972122
170	3.520000	7.388158
171	3.520000	6.584090
172	1.600000	4.551001
173	0.320000	5.135022
174	1.920000	4.934684
175	2.880000	5.462408
176	0.640000	5.306073
177	1.280000	5.104386
178	3.840000	7.380191
179	2.240000	6.080138
180	1.280000	4.488776
181	0.960000	4.479329
182	0.960000	5.087224
183	1.600000	6.244223
184	3.840000	6.775384
185	0.320000	3.235419
186	1.920000	5.039851
187	1.600000	5.501945
188	2.240000	5.335687
189	2.560000	4.711637
190	3.200000	6.652763
191	2.880000	6.361771
192	3.200000	7.111476
193	3.520000	7.566484
194	3.200000	6.915335
195	2.880000	7.831314
196	2.880000	7.295234
197	2.880000	7.023389
198	2.560000	5.449600
199	2.240000	6.316825
200	2.240000	5.493512
201	2.240000	6.834358
202	3.840000	7.486668
203	2.880000	5.116206
204	3.520000	6.413814
205	1.280000	6.258174
206	1.920000	6.541053
207	2.560000	6.344529
208	1.920000	6.718503
209	2.560000	5.214935
210	2.240000	5.693870
211	2.560000	6.574987
212	3.840000	8.013643
213	3.520000	6.666800
214	2.880000	6.858537
215	2.880000	7.697623
216	2.880000	7.538347
217	2.880000	7.279418
218	3.520000	8.059081
219	2.880000	7.359181
220	0.960000	4.723485
221	2.880000	5.344402
222	1.600000	5.739900
223	4.800000	7.539936
224	0.000000	5.068575
225	0.000000	3.883599
226	1.600000	5.221413
227	1.920000	6.007455
228	1.280000	3.745668
229	2.560000	5.362380
230	0.320000	5.741557
231	0.640000	5.105846
232	0.960000	6.223514
233	0.320000	5.226120
234	1.280000	6.343858
235	3.200000	7.073200
236	0.640000	5.007228
237	0.000000	4.548373
238	0.640000	4.169105
239	0.640000	4.849409
240	1.600000	5.998765
241	1.920000	5.973682
242	3.840000	8.240639
243	0.960000	5.749109
244	1.920000	6.417848
245	2.560000	5.839242
246	0.320000	4.343909
247	1.280000	6.289070
248	0.640000	5.417024
249	1.280000	6.788142
250	1.600000	5.430193
251	0.960000	4.891928
252	0.000000	6.400311
253	0.960000	6.555703
254	0.320000	4.968358
255	2.560000	6.939479
256	3.520000	6.919156
257	1.600000	5.924154
258	1.600000	4.568316
259	0.640000	4.844138
260	0.640000	5.583513
261	0.320000	5.925867
262	0.000000	5.245269
263	1.600000	5.412098
264	1.280000	4.586269
265	0.640000	3.706168
266	5.440000	7.955943
267	0.640000	5.352396
268	2.240000	5.403370
269	4.160000	6.928170
270	0.320000	6.255990
271	0.640000	6.097790
272	1.280000	5.041614
273	0.320000	1.866553
274	1.280000	4.694927
275	2.880000	5.341106
276	1.920000	5.836630
277	0.960000	4.691682
278	3.520000	5.786721
279	2.560000	6.409983
280	2.560000	5.783655
281	3.200000	5.310731
282	2.560000	6.014435
283	4.480000	7.647950
284	2.240000	5.908350
285	3.520000	6.809811
286	1.920000	5.062913
287	2.880000	5.829808
288	0.960000	4.293487
289	2.240000	6.624632
290	2.240000	5.681196
291	3.520000	6.391823
292	1.600000	2.744013
293	1.920000	5.091088
294	3.520000	6.061577
295	1.600000	5.460889
296	2.560000	6.191976
297	3.840000	7.191117
298	4.480000	7.737692
299	1.280000	4.417161
300	4.480000	7.583983
301	3.520000	7.082875
302	2.560000	7.116086
303	2.880000	7.061656
304	1.920000	7.520301
305	1.600000	6.843503
306	3.520000	7.122667
307	1.920000	6.396094
308	4.480000	7.314078
309	2.880000	6.716897
310	1.280000	4.837534
311	2.560000	6.255825
312	2.880000	6.195040
313	2.560000	6.015651
314	3.840000	6.179848
315	2.240000	5.786922
316	5.120000	8.053617
317	3.200000	7.197091
318	1.920000	5.909330
319	5.440000	8.417619
320	4.160000	7.557273
321	1.920000	4.347516
322	3.520000	5.895798
323	3.520000	6.648117
324	5.440000	9.041141
325	5.440000	8.565025
326	0.960000	1.799149
327	0.320000	2.890096
328	2.880000	5.026527
329	2.880000	6.511575
330	1.280000	4.344402
331	0.960000	4.734106
332	2.240000	6.031666
333	1.600000	3.844209
334	1.280000	4.803757
335	0.640000	4.895891
336	0.320000	5.394446
337	1.280000	4.109275
338	0.960000	4.120054
339	3.200000	6.187619
340	0.640000	4.135481
341	2.240000	5.454721
342	3.520000	6.593358
343	0.320000	2.899725
344	0.320000	3.307149
345	1.280000	4.278184
346	0.960000	3.097877
347	0.960000	2.992683
348	3.840000	6.790295
349	2.240000	5.672473
350	0.640000	4.028305
351	0.960000	3.850724
352	0.320000	3.011962
353	1.280000	3.895820
354	1.920000	5.006068
355	3.200000	5.329082
356	1.280000	3.282323
357	0.320000	4.839521
358	1.920000	3.405123
359	1.600000	3.941865
360	1.280000	3.108182
361	0.640000	2.050091
362	2.240000	4.067860
363	1.920000	3.856572
364	1.280000	3.245303
365	0.000000	3.668841
366	1.280000	4.763964
367	0.640000	2.682262
368	1.600000	3.252549
369	2.880000	5.396298
370	0.320000	6.415416
371	1.600000	2.806544
372	0.320000	2.791683
373	1.920000	3.711392
374	3.200000	4.821486
375	2.240000	4.191606
376	2.240000	3.934450
377	3.520000	6.489483
378	2.560000	4.367107
379	3.840000	5.873693
380	2.560000	4.269373
381	1.600000	4.005851
382	1.280000	4.051378
383	0.320000	3.309529
384	2.240000	4.317787
385	1.280000	3.648111
386	0.640000	2.977035
387	2.880000	4.983511
388	2.560000	4.315775
389	4.480000	5.920277
390	1.280000	3.471532
391	2.560000	4.742495
392	1.600000	3.890885
393	1.600000	4.354290
394	2.880000	5.113870
395	2.560000	4.319474
396	3.200000	5.535856
397	2.240000	5.094979
398	0.960000	2.726182
399	1.600000	3.526125
400	1.920000	4.565724
401	2.240000	4.764936
402	2.880000	5.507510
403	0.000000	2.601530
404	2.240000	5.072248
405	0.320000	3.143798
406	2.560000	5.859105
407	1.280000	2.579383
408	1.280000	2.698667
409	2.240000	4.147738
410	3.200000	5.495883
411	0.640000	2.388540
412	1.600000	4.036635
413	2.240000	4.186004
414	1.920000	4.730124
415	2.880000	4.980324
416	0.960000	3.600148
417	1.920000	3.942759
418	0.960000	4.788689
419	0.960000	3.589567
420	0.640000	2.043386
421	2.880000	5.090759
422	2.560000	3.958633
423	7.680000	8.684515
424	2.240000	4.768879
425	2.880000	5.133356
426	1.600000	3.502437
427	1.920000	4.409842
428	3.840000	6.324891
429	0.640000	3.565820
430	1.600000	2.716972
431	2.560000	4.438048
432	1.920000	4.778161
433	2.240000	3.979752
434	1.600000	3.636730
435	1.920000	3.675268
436	2.240000	3.641035
437	2.240000	4.524473
438	2.240000	4.401585
439	2.880000	5.780515
440	3.840000	6.735723
441	2.880000	5.547171
442	2.560000	5.217293
443	2.240000	4.672601
444	2.560000	4.815225
445	4.800000	7.922763
446	3.200000	5.305355
447	3.520000	6.301263
448	2.880000	6.012120
449	2.240000	4.558141
450	3.200000	6.044888
451	5.120000	8.203564
452	5.120000	8.587661
453	4.800000	8.312691
454	5.760000	9.302145
455	0.000000	4.842472
456	4.480000	7.333598
457	4.480000	7.390323
458	4.480000	7.873934
459	5.440000	8.172486
460	4.160000	7.171049
461	4.480000	7.840351
462	4.160000	7.899248
463	4.800000	8.282790
464	3.520000	7.039940
465	5.760000	9.395732
466	4.160000	7.668425
467	4.800000	7.497959
468	5.760000	9.135337
469	4.160000	7.087728
470	5.760000	10.033980
471	3.200000	6.818749
472	5.760000	9.198631
473	4.800000	7.711209
474	4.480000	7.588278
475	4.160000	6.729022
476	4.480000	7.897508
477	5.760000	8.996719
478	4.800000	7.466472
479	3.200000	6.405686
480	2.880000	6.527985
481	4.800000	8.451409
482	3.200000	5.794824
483	4.160000	8.073357
